#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
187,7916.677000,-0.006149292
188,7916.678000,-0.001548767
189,7916.679000,0.002189636
190,7916.680000,0.005569458
191,7916.681000,0.008201599
192,7916.682000,0.01071167
193,7916.683000,0.01320648
194,7916.684000,0.01520538
195,7916.685000,0.01688385
196,7916.686000,0.01867676
197,7916.687000,0.02021027
198,7916.688000,0.02100372
199,7916.689000,0.02155304
200,7916.690000,0.0218277
201,7916.691000,0.02235413
202,7916.692000,0.02209473
203,7916.693000,0.02158356
204,7916.694000,0.02318573
205,7916.695000,0.02703094
206,7916.696000,0.03165436
207,7916.697000,0.03754425
208,7916.698000,0.04396057
209,7916.699000,0.05075073
210,7916.700000,0.0598526
211,7916.701000,0.07041931
212,7916.702000,0.07122803
213,7916.703000,0.06211853
214,7916.704000,0.04774475
215,7916.705000,0.02507782
216,7916.706000,4.882813E-4
217,7916.707000,-0.02552032
218,7916.708000,-0.05876923
219,7916.709000,-0.09794617
220,7916.710000,-0.09261322
221,7916.711000,-0.03858948
222,7916.712000,0.04116821
223,7916.713000,0.1609497
224,7916.714000,0.2182693
225,7916.715000,0.2041855
226,7916.716000,0.1801987
227,7916.717000,0.1197891
228,7916.718000,0.07070923
229,7916.719000,0.04006195
230,7916.720000,-0.01800537
231,7916.721000,-0.0921936
232,7916.722000,-0.1133499
233,7916.723000,-0.08042908
234,7916.724000,-0.01780701
235,7916.725000,0.09264374
236,7916.726000,0.1419373
237,7916.727000,0.1221542
238,7916.728000,0.1014328
239,7916.729000,0.05296326
240,7916.730000,0.03752136
241,7916.731000,0.06449127
242,7916.732000,0.08184052
243,7916.733000,0.1056976
244,7916.734000,0.1227951
245,7916.735000,0.1273727
246,7916.736000,0.1390533
247,7916.737000,0.1529999
248,7916.738000,0.1680222
249,7916.739000,0.1865158
250,7916.740000,0.2051315
251,7916.741000,0.2241745
252,7916.742000,0.2326508
253,7916.743000,0.2294159
254,7916.744000,0.2201462
255,7916.745000,0.2015991
256,7916.746000,0.1803055
257,7916.747000,0.1566544
258,7916.748000,0.1243973
