#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
211,7588.114000,-0.2846537
212,7588.115000,-0.2856377
213,7588.116000,-0.2840233
214,7588.117000,-0.2797122
215,7588.118000,-0.2892648
216,7588.119000,-0.2825049
217,7588.120000,-0.2841434
218,7588.121000,-0.2841582
219,7588.122000,-0.2842112
220,7588.123000,-0.2843072
221,7588.124000,-0.2844169
222,7588.125000,-0.2845456
223,7588.126000,-0.284769
224,7588.127000,-0.28509
225,7588.128000,-0.2854756
226,7588.129000,-0.2859456
227,7588.130000,-0.2864494
228,7588.131000,-0.2869833
229,7588.132000,-0.2875922
230,7588.133000,-0.2882658
231,7588.134000,-0.2888505
232,7588.135000,-0.289337
233,7588.136000,-0.2898691
234,7588.137000,-0.2904144
235,7588.138000,-0.2906125
236,7588.139000,-0.2912776
237,7588.140000,-0.2916705
238,7588.141000,-0.2920773
239,7588.142000,-0.2922157
240,7588.143000,-0.2920488
241,7588.144000,-0.29449
242,7588.145000,-0.2997512
243,7588.146000,-0.2938046
244,7588.147000,-0.2761442
245,7588.148000,-0.3171517
246,7588.149000,-0.2891921
247,7588.150000,-0.2966546
248,7588.151000,-0.2972262
249,7588.152000,-0.2983754
250,7588.153000,-0.3001738
251,7588.154000,-0.2997353
252,7588.155000,-0.296953
253,7588.156000,-0.306173
254,7588.157000,-0.301451
255,7588.158000,-0.3038996
256,7588.159000,-0.304917
257,7588.160000,-0.3059511
258,7588.161000,-0.3069791
259,7588.162000,-0.3080724
260,7588.163000,-0.3092346
261,7588.164000,-0.3104126
262,7588.165000,-0.3116219
263,7588.166000,-0.3127443
264,7588.167000,-0.3137619
265,7588.168000,-0.3152769
266,7588.169000,-0.3173084
267,7588.170000,-0.3172018
268,7588.171000,-0.3148634
269,7588.172000,-0.3239425
270,7588.173000,-0.3200075
271,7588.174000,-0.321289
272,7588.175000,-0.3195572
273,7588.176000,-0.3247656
274,7588.177000,-0.3372395
275,7588.178000,-0.3133942
276,7588.179000,-0.3324908
277,7588.180000,-0.3291002
278,7588.181000,-0.3294705
279,7588.182000,-0.3326368
280,7588.183000,-0.3325804
281,7588.184000,-0.3342092
282,7588.185000,-0.3355322
283,7588.186000,-0.3368711
284,7588.187000,-0.338226
285,7588.188000,-0.3396044
286,7588.189000,-0.3410063
287,7588.190000,-0.3424011
288,7588.191000,-0.3437885
289,7588.192000,-0.3451819
290,7588.193000,-0.3465734
291,7588.194000,-0.34808
292,7588.195000,-0.3497123
293,7588.196000,-0.3505558
294,7588.197000,-0.3505551
295,7588.198000,-0.3540502
296,7588.199000,-0.3612
297,7588.200000,-0.3504657
298,7588.201000,-0.3608931
299,7588.202000,-0.3605553
300,7588.203000,-0.3623945
301,7588.204000,-0.3640811
302,7588.205000,-0.3655909
303,7588.206000,-0.3680649
304,7588.207000,-0.3715463
305,7588.208000,-0.3700718
306,7588.209000,-0.3744857
307,7588.210000,-0.3759511
308,7588.211000,-0.3780711
309,7588.212000,-0.3801702
310,7588.213000,-0.3822536
311,7588.214000,-0.3847935
312,7588.215000,-0.3878175
313,7588.216000,-0.3888621
314,7588.217000,-0.3878237
315,7588.218000,-0.3972937
316,7588.219000,-0.3944717
317,7588.220000,-0.3980363
318,7588.221000,-0.4004363
319,7588.222000,-0.4024135
320,7588.223000,-0.4039332
321,7588.224000,-0.4075644
322,7588.225000,-0.4134139
323,7588.226000,-0.4083903
324,7588.227000,-0.4161795
325,7588.228000,-0.4174412
326,7588.229000,-0.4200221
327,7588.230000,-0.4221257
328,7588.231000,-0.4237022
329,7588.232000,-0.4281626
330,7588.233000,-0.4356872
331,7588.234000,-0.4304468
332,7588.235000,-0.4118698
333,7588.236000,-0.4601436
334,7588.237000,-0.4300204
335,7588.238000,-0.4399724
336,7588.239000,-0.4418423
337,7588.240000,-0.4446787
338,7588.241000,-0.4361764
339,7588.242000,-0.4529679
340,7588.243000,-0.4627039
341,7588.244000,-0.4341366
342,7588.245000,-0.4574972
343,7588.246000,-0.4551675
344,7588.247000,-0.4560648
345,7588.248000,-0.4581292
346,7588.249000,-0.4600003
347,7588.250000,-0.4618542
348,7588.251000,-0.463686
349,7588.252000,-0.4655118
350,7588.253000,-0.4673189
351,7588.254000,-0.4693372
352,7588.255000,-0.4715876
353,7588.256000,-0.4725455
354,7588.257000,-0.4721296
355,7588.258000,-0.4782065
356,7588.259000,-0.4762967
357,7588.260000,-0.4792195
358,7588.261000,-0.4822425
359,7588.262000,-0.4808778
360,7588.263000,-0.4817145
361,7588.264000,-0.4877212
362,7588.265000,-0.4891569
363,7588.266000,-0.4863089
364,7588.267000,-0.4917419
365,7588.268000,-0.4926284
366,7588.269000,-0.4944457
367,7588.270000,-0.4962454
368,7588.271000,-0.4980333
369,7588.272000,-0.4998216
370,7588.273000,-0.5016015
371,7588.274000,-0.5034169
372,7588.275000,-0.5052711
373,7588.276000,-0.507134
374,7588.277000,-0.5090165
375,7588.278000,-0.5108307
376,7588.279000,-0.5125667
377,7588.280000,-0.5143339
378,7588.281000,-0.5161161
379,7588.282000,-0.5178246
380,7588.283000,-0.5194725
381,7588.284000,-0.5196673
382,7588.285000,-0.5182468
383,7588.286000,-0.520902
384,7588.287000,-0.5528123
385,7588.288000,-0.4975938
386,7588.289000,-0.5381723
387,7588.290000,-0.5302459
388,7588.291000,-0.5317751
389,7588.292000,-0.533301
390,7588.293000,-0.5348085
391,7588.294000,-0.5364465
392,7588.295000,-0.5382332
393,7588.296000,-0.539929
394,7588.297000,-0.5415611
395,7588.298000,-0.5440435
396,7588.299000,-0.5459553
397,7588.300000,-0.5476617
398,7588.301000,-0.5486481
399,7588.302000,-0.5532442
400,7588.303000,-0.553557
401,7588.304000,-0.5560851
402,7588.305000,-0.5581865
403,7588.306000,-0.5603651
404,7588.307000,-0.5626274
405,7588.308000,-0.5649184
406,7588.309000,-0.5672568
407,7588.310000,-0.5695792
408,7588.311000,-0.5718751
409,7588.312000,-0.574188
410,7588.313000,-0.5764977
411,7588.314000,-0.5791175
412,7588.315000,-0.5820809
413,7588.316000,-0.582705
414,7588.317000,-0.5808203
415,7588.318000,-0.5890876
416,7588.319000,-0.6079619
417,7588.320000,-0.5739861
418,7588.321000,-0.6023227
419,7588.322000,-0.5985005
420,7588.323000,-0.6006844
421,7588.324000,-0.6039697
422,7588.325000,-0.608393
423,7588.326000,-0.6072216
424,7588.327000,-0.6124783
425,7588.328000,-0.614369
426,7588.329000,-0.6168548
427,7588.330000,-0.6193506
428,7588.331000,-0.6218588
429,7588.332000,-0.6243426
430,7588.333000,-0.6268168
431,7588.334000,-0.6291307
432,7588.335000,-0.6312687
433,7588.336000,-0.6342103
434,7588.337000,-0.6380063
435,7588.338000,-0.6375512
436,7588.339000,-0.6420069
437,7588.340000,-0.6439165
438,7588.341000,-0.646306
439,7588.342000,-0.648761
440,7588.343000,-0.651293
441,7588.344000,-0.65331
442,7588.345000,-0.654781
443,7588.346000,-0.6606713
444,7588.347000,-0.6713076
445,7588.348000,-0.6629781
446,7588.349000,-0.6348225
447,7588.350000,-0.706444
448,7588.351000,-0.6606166
449,7588.352000,-0.6751629
450,7588.353000,-0.6780313
451,7588.354000,-0.6802218
452,7588.355000,-0.683332
453,7588.356000,-0.6858434
454,7588.357000,-0.6882832
455,7588.358000,-0.6910561
456,7588.359000,-0.6941507
457,7588.360000,-0.6935013
458,7588.361000,-0.6966457
459,7588.362000,-0.697924
460,7588.363000,-0.6999109
461,7588.364000,-0.700807
462,7588.365000,-0.700654
463,7588.366000,-0.7044923
464,7588.367000,-0.7020061
465,7588.368000,-0.7018963
