#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
212,7427.903000,-0.3084116
213,7427.904000,-0.3061476
214,7427.905000,-0.3038699
215,7427.906000,-0.3014404
216,7427.907000,-0.298847
217,7427.908000,-0.2961685
218,7427.909000,-0.2933691
219,7427.910000,-0.2908276
220,7427.911000,-0.2882562
221,7427.912000,-0.2857983
222,7427.913000,-0.283408
223,7427.914000,-0.2810132
224,7427.915000,-0.2786087
225,7427.916000,-0.2762949
226,7427.917000,-0.2740562
227,7427.918000,-0.2715319
228,7427.919000,-0.268704
229,7427.920000,-0.2675842
230,7427.921000,-0.2682688
231,7427.922000,-0.2602657
232,7427.923000,-0.2431129
233,7427.924000,-0.2693895
234,7427.925000,-0.2702359
235,7427.926000,-0.2295774
236,7427.927000,-0.2563103
237,7427.928000,-0.2464061
238,7427.929000,-0.2435841
239,7427.930000,-0.2407199
240,7427.931000,-0.23782
241,7427.932000,-0.23483
242,7427.933000,-0.2317579
243,7427.934000,-0.2287326
244,7427.935000,-0.2257575
245,7427.936000,-0.2227768
246,7427.937000,-0.2198224
247,7427.938000,-0.2168051
248,7427.939000,-0.2137176
249,7427.940000,-0.2106326
250,7427.941000,-0.2075304
251,7427.942000,-0.2042018
252,7427.943000,-0.2006353
253,7427.944000,-0.196913
254,7427.945000,-0.1929778
255,7427.946000,-0.1889655
256,7427.947000,-0.1848803
257,7427.948000,-0.1806023
258,7427.949000,-0.1761557
259,7427.950000,-0.1716627
260,7427.951000,-0.1671184
261,7427.952000,-0.1624763
262,7427.953000,-0.157765
263,7427.954000,-0.1528758
264,7427.955000,-0.1478011
265,7427.956000,-0.1426134
266,7427.957000,-0.1372881
267,7427.958000,-0.1321813
268,7427.959000,-0.1273359
269,7427.960000,-0.1225636
270,7427.961000,-0.1179675
271,7427.962000,-0.1133588
272,7427.963000,-0.1087249
273,7427.964000,-0.1042554
274,7427.965000,-0.09991485
275,7427.966000,-0.09541564
276,7427.967000,-0.09076101
277,7427.968000,-0.08606793
278,7427.969000,-0.0812691
279,7427.970000,-0.07658544
280,7427.971000,-0.07203487
281,7427.972000,-0.067453
282,7427.973000,-0.06289016
283,7427.974000,-0.05801319
284,7427.975000,-0.05277075
285,7427.976000,-0.04735969
286,7427.977000,-0.04167908
287,7427.978000,-0.03593719
288,7427.979000,-0.03015038
289,7427.980000,-0.023394
290,7427.981000,-0.0156358
291,7427.982000,-0.01199359
292,7427.983000,-0.01271746
293,7427.984000,0.006208763
294,7427.985000,0.02420661
295,7427.986000,-0.004988909
296,7427.987000,0.02081913
297,7427.988000,0.02918483
298,7427.989000,0.05700253
299,7427.990000,0.01691014
300,7427.991000,0.05513181
301,7427.992000,0.0524303
302,7427.993000,0.05709955
303,7427.994000,0.06159794
304,7427.995000,0.06594434
305,7427.996000,0.06972384
306,7427.997000,0.07300967
307,7427.998000,0.07642923
308,7427.999000,0.07997304
309,7428.000000,0.08337595
310,7428.001000,0.08678444
311,7428.002000,0.08970688
312,7428.003000,0.09210017
313,7428.004000,0.09432365
314,7428.005000,0.096259
315,7428.006000,0.09900799
316,7428.007000,0.1027146
317,7428.008000,0.1067725
