#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
210,7427.901000,-0.1566086
211,7427.902000,-0.1563568
212,7427.903000,-0.1561203
213,7427.904000,-0.1558914
214,7427.905000,-0.1556778
215,7427.906000,-0.1554489
216,7427.907000,-0.1551743
217,7427.908000,-0.1548309
218,7427.909000,-0.1544037
219,7427.910000,-0.1539001
220,7427.911000,-0.1534195
221,7427.912000,-0.1529694
222,7427.913000,-0.1526031
223,7427.914000,-0.1523209
224,7427.915000,-0.152092
225,7427.916000,-0.1518478
226,7427.917000,-0.1516113
227,7427.918000,-0.1512909
228,7427.919000,-0.1509247
229,7427.920000,-0.1476669
230,7427.921000,-0.1411972
231,7427.922000,-0.1582794
232,7427.923000,-0.2006607
233,7427.924000,-0.1415329
234,7427.925000,0.02365112
235,7427.926000,-0.3439255
236,7427.927000,-0.08509827
237,7427.928000,-0.1476746
238,7427.929000,-0.1472397
239,7427.930000,-0.1468048
240,7427.931000,-0.1463623
241,7427.932000,-0.1458969
242,7427.933000,-0.1454086
243,7427.934000,-0.1449356
244,7427.935000,-0.1444702
245,7427.936000,-0.1440048
246,7427.937000,-0.1435471
247,7427.938000,-0.1430817
248,7427.939000,-0.1425934
249,7427.940000,-0.1421127
250,7427.941000,-0.1416321
251,7427.942000,-0.1410904
252,7427.943000,-0.1404877
253,7427.944000,-0.1398468
254,7427.945000,-0.1391449
255,7427.946000,-0.1384354
256,7427.947000,-0.1377106
257,7427.948000,-0.13694
258,7427.949000,-0.1361237
259,7427.950000,-0.1353073
260,7427.951000,-0.1344757
261,7427.952000,-0.1336288
262,7427.953000,-0.1327591
263,7427.954000,-0.1318436
264,7427.955000,-0.1308899
265,7427.956000,-0.1299133
266,7427.957000,-0.128891
267,7427.958000,-0.1278763
268,7427.959000,-0.1268921
269,7427.960000,-0.125885
270,7427.961000,-0.1248856
271,7427.962000,-0.1238785
272,7427.963000,-0.1228409
273,7427.964000,-0.1218109
274,7427.965000,-0.1207733
275,7427.966000,-0.1196976
276,7427.967000,-0.118576
277,7427.968000,-0.1174316
278,7427.969000,-0.1162415
279,7427.970000,-0.1150665
280,7427.971000,-0.1138763
281,7427.972000,-0.1126556
282,7427.973000,-0.1114197
283,7427.974000,-0.1102295
284,7427.975000,-0.1090775
285,7427.976000,-0.1079483
286,7427.977000,-0.1068573
287,7427.978000,-0.1057739
288,7427.979000,-0.1046753
289,7427.980000,-0.1036072
290,7427.981000,-0.1025772
291,7427.982000,-0.1015244
292,7427.983000,-0.1004715
293,7427.984000,-0.09942627
294,7427.985000,-0.09836578
295,7427.986000,-0.09734344
296,7427.987000,-0.09635162
297,7427.988000,-0.09537506
298,7427.989000,-0.09441376
299,7427.990000,-0.09340668
300,7427.991000,-0.09236908
301,7427.992000,-0.09131622
302,7427.993000,-0.09024811
303,7427.994000,-0.08917236
304,7427.995000,-0.08811188
305,7427.996000,-0.08702087
306,7427.997000,-0.08590698
307,7427.998000,-0.08481598
