#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
211,7839.972000,0.01259045
212,7839.973000,0.01673512
213,7839.974000,0.008590514
214,7839.975000,0.01473638
215,7839.976000,0.01346903
216,7839.977000,0.01358401
217,7839.978000,0.0140422
218,7839.979000,0.01487952
219,7839.980000,0.01588226
220,7839.981000,0.01716826
221,7839.982000,0.01703613
222,7839.983000,0.01531391
223,7839.984000,0.01290284
224,7839.985000,0.009328086
225,7839.986000,0.01372429
226,7839.987000,0.02700654
227,7839.988000,0.02755948
228,7839.989000,0.01622278
229,7839.990000,0.0148546
230,7839.991000,0.02015755
231,7839.992000,0.02000779
232,7839.993000,0.01744933
233,7839.994000,0.01748214
234,7839.995000,0.01879745
235,7839.996000,0.01949138
236,7839.997000,0.02016584
237,7839.998000,0.02292347
238,7839.999000,0.02772995
239,7840.000000,0.01720112
240,7840.001000,0.02414348
241,7840.002000,0.02265517
242,7840.003000,0.02389583
243,7840.004000,0.02191266
244,7840.005000,0.02317494
245,7840.006000,0.02416397
246,7840.007000,0.0270444
247,7840.008000,0.02555963
248,7840.009000,0.01961238
249,7840.010000,0.03071064
250,7840.011000,0.02911684
251,7840.012000,0.0253123
252,7840.013000,0.009444911
253,7840.014000,0.04432604
254,7840.015000,0.02565131
255,7840.016000,0.02193349
256,7840.017000,0.02885599
257,7840.018000,0.02757413
258,7840.019000,0.02812006
259,7840.020000,0.02783155
260,7840.021000,0.02666922
261,7840.022000,0.02983974
262,7840.023000,0.02792624
263,7840.024000,0.02861921
264,7840.025000,0.02880023
265,7840.026000,0.02897467
266,7840.027000,0.02914119
267,7840.028000,0.02930652
268,7840.029000,0.02947146
269,7840.030000,0.02961815
270,7840.031000,0.02974747
271,7840.032000,0.02986548
272,7840.033000,0.02996863
273,7840.034000,0.03005668
274,7840.035000,0.03012692
275,7840.036000,0.03017971
276,7840.037000,0.03020976
277,7840.038000,0.03033971
278,7840.039000,0.03059536
279,7840.040000,0.03090846
280,7840.041000,0.03130166
281,7840.042000,0.0312633
282,7840.043000,0.03076268
283,7840.044000,0.03005103
284,7840.045000,0.02899073
285,7840.046000,0.03012166
286,7840.047000,0.0336926
287,7840.048000,0.03372088
288,7840.049000,0.03044116
