#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
210,7839.971000,-0.006318092
211,7839.972000,-0.00621891
212,7839.973000,-0.006117821
213,7839.974000,-0.006313324
214,7839.975000,-0.006835938
215,7839.976000,-0.004973412
216,7839.977000,-5.493164E-4
217,7839.978000,-0.006430626
218,7839.979000,-0.02304268
219,7839.980000,0.01437664
220,7839.981000,-0.01175594
221,7839.982000,-0.005267143
222,7839.983000,-0.005171776
223,7839.984000,-0.005075455
224,7839.985000,-0.004975319
225,7839.986000,-0.004878998
226,7839.987000,-0.004782677
227,7839.988000,-0.004686356
228,7839.989000,-0.004589081
229,7839.990000,-0.004491806
230,7839.991000,-0.004385948
231,7839.992000,-0.004265785
232,7839.993000,-0.004153252
233,7839.994000,-0.004081726
234,7839.995000,-0.003920555
235,7839.996000,-0.003829956
236,7839.997000,-0.003705978
237,7839.998000,-0.003549576
238,7839.999000,-0.003474236
239,7840.000000,-0.003342628
240,7840.001000,-0.003221512
241,7840.002000,-0.003099442
242,7840.003000,-0.002977371
243,7840.004000,-0.00285244
244,7840.005000,-0.002727509
245,7840.006000,-0.002595901
246,7840.007000,-0.002457619
247,7840.008000,-0.00231266
248,7840.009000,-0.002163887
249,7840.010000,-0.002011299
250,7840.011000,-0.001859665
251,7840.012000,-0.001699448
252,7840.013000,-0.001532555
253,7840.014000,-0.001362801
254,7840.015000,-0.001189232
255,7840.016000,-0.001016617
256,7840.017000,-8.440018E-4
257,7840.018000,-6.70433E-4
258,7840.019000,-4.882813E-4
259,7840.020000,-2.889633E-4
260,7840.021000,-8.583069E-5
261,7840.022000,1.049042E-4
262,7840.023000,2.95639E-4
263,7840.024000,4.911423E-4
264,7840.025000,6.914139E-4
265,7840.026000,8.916855E-4
266,7840.027000,0.001098633
267,7840.028000,0.001303673
268,7840.029000,0.00151062
269,7840.030000,0.001724243
270,7840.031000,0.001943588
271,7840.032000,0.002164841
272,7840.033000,0.002394676
273,7840.034000,0.002631187
274,7840.035000,0.002859116
275,7840.036000,0.003061295
276,7840.037000,0.003307343
277,7840.038000,0.00366497
278,7840.039000,0.003780365
279,7840.040000,0.004021645
280,7840.041000,0.004283905
281,7840.042000,0.004624367
282,7840.043000,0.004766464
283,7840.044000,0.005037308
284,7840.045000,0.005306244
285,7840.046000,0.005558014
286,7840.047000,0.005818367
287,7840.048000,0.006079674
288,7840.049000,0.006345749
289,7840.050000,0.006612778
290,7840.051000,0.006882668
291,7840.052000,0.007154465
292,7840.053000,0.007429123
293,7840.054000,0.007707596
294,7840.055000,0.007993698
295,7840.056000,0.0082798
296,7840.057000,0.008571625
297,7840.058000,0.008867264
298,7840.059000,0.00916481
299,7840.060000,0.009469032
300,7840.061000,0.00977993
301,7840.062000,0.01008987
302,7840.063000,0.01040173
303,7840.064000,0.01071644
304,7840.065000,0.01103401
305,7840.066000,0.01135445
306,7840.067000,0.01168251
307,7840.068000,0.01201153
308,7840.069000,0.01234818
309,7840.070000,0.01264095
310,7840.071000,0.01288509
311,7840.072000,0.01310825
312,7840.073000,0.01329231
313,7840.074000,0.01346397
314,7840.075000,0.01362419
315,7840.076000,0.01374817
316,7840.077000,0.01384354
317,7840.078000,0.01393604
318,7840.079000,0.01403236
319,7840.080000,0.01411152
320,7840.081000,0.01418591
321,7840.082000,0.01422787
322,7840.083000,0.0142355
323,7840.084000,0.01422787
324,7840.085000,0.0141964
325,7840.086000,0.01451778
326,7840.087000,0.01523113
327,7840.088000,0.01616001
328,7840.089000,0.01741505
329,7840.090000,0.01877594
330,7840.091000,0.02023792
331,7840.092000,0.0220108
332,7840.093000,0.02405548
333,7840.094000,0.02609158
334,7840.095000,0.02812481
335,7840.096000,0.0302763
336,7840.097000,0.03247833
337,7840.098000,0.03495312
338,7840.099000,0.03772259
