#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
211,7839.972000,-0.1227722
212,7839.973000,-0.1228027
213,7839.974000,-0.1228485
214,7839.975000,-0.1228943
215,7839.976000,-0.1229401
216,7839.977000,-0.1229935
217,7839.978000,-0.1230392
218,7839.979000,-0.1230927
219,7839.980000,-0.1231308
220,7839.981000,-0.1231842
221,7839.982000,-0.12323
222,7839.983000,-0.1232681
223,7839.984000,-0.1233139
224,7839.985000,-0.1233521
225,7839.986000,-0.1233978
226,7839.987000,-0.1234436
227,7839.988000,-0.1234818
228,7839.989000,-0.1235275
229,7839.990000,-0.1235657
230,7839.991000,-0.1235962
231,7839.992000,-0.1236267
232,7839.993000,-0.1236496
233,7839.994000,-0.1236725
234,7839.995000,-0.123703
235,7839.996000,-0.1237335
236,7839.997000,-0.1237411
237,7839.998000,-0.1237335
238,7839.999000,-0.1237717
239,7840.000000,-0.1237869
240,7840.001000,-0.1237946
241,7840.002000,-0.1238098
242,7840.003000,-0.1238098
243,7840.004000,-0.1238251
244,7840.005000,-0.1238327
245,7840.006000,-0.123848
246,7840.007000,-0.1238708
247,7840.008000,-0.123909
248,7840.009000,-0.1239624
249,7840.010000,-0.1240311
250,7840.011000,-0.1240768
251,7840.012000,-0.1241608
252,7840.013000,-0.1242371
253,7840.014000,-0.124321
254,7840.015000,-0.1243973
255,7840.016000,-0.1244812
256,7840.017000,-0.1245651
257,7840.018000,-0.124649
258,7840.019000,-0.1247559
259,7840.020000,-0.1248627
260,7840.021000,-0.1249619
261,7840.022000,-0.1250763
262,7840.023000,-0.1251755
263,7840.024000,-0.1252899
264,7840.025000,-0.125412
265,7840.026000,-0.1255112
266,7840.027000,-0.1256332
267,7840.028000,-0.1257401
268,7840.029000,-0.1258545
269,7840.030000,-0.1259766
270,7840.031000,-0.1261063
271,7840.032000,-0.1262512
272,7840.033000,-0.1263962
273,7840.034000,-0.1265488
274,7840.035000,-0.1266937
275,7840.036000,-0.1268921
276,7840.037000,-0.1270523
277,7840.038000,-0.1270294
278,7840.039000,-0.1273804
279,7840.040000,-0.1275024
280,7840.041000,-0.1276321
281,7840.042000,-0.1276703
282,7840.043000,-0.1279373
283,7840.044000,-0.1280441
284,7840.045000,-0.1281815
285,7840.046000,-0.1283264
286,7840.047000,-0.1284714
287,7840.048000,-0.1286163
288,7840.049000,-0.1287537
289,7840.050000,-0.1289063
290,7840.051000,-0.1290512
291,7840.052000,-0.1291885
292,7840.053000,-0.1293335
293,7840.054000,-0.1294861
294,7840.055000,-0.1296387
295,7840.056000,-0.1298218
296,7840.057000,-0.1300049
297,7840.058000,-0.1301804
298,7840.059000,-0.1303558
299,7840.060000,-0.1305466
300,7840.061000,-0.1307449
301,7840.062000,-0.1309357
302,7840.063000,-0.1311264
303,7840.064000,-0.1313248
304,7840.065000,-0.1315231
305,7840.066000,-0.1317291
306,7840.067000,-0.1319199
307,7840.068000,-0.1321335
308,7840.069000,-0.1323471
309,7840.070000,-0.1326904
310,7840.071000,-0.1331635
311,7840.072000,-0.133728
312,7840.073000,-0.1344147
313,7840.074000,-0.1351395
314,7840.075000,-0.1359253
315,7840.076000,-0.1368103
316,7840.077000,-0.1378021
317,7840.078000,-0.1388016
318,7840.079000,-0.1398315
319,7840.080000,-0.140892
320,7840.081000,-0.1419983
321,7840.082000,-0.143219
322,7840.083000,-0.1445389
323,7840.084000,-0.1459351
324,7840.085000,-0.1473923
325,7840.086000,-0.1476669
326,7840.087000,-0.1466217
327,7840.088000,-0.1448517
328,7840.089000,-0.1420135
329,7840.090000,-0.1388016
330,7840.091000,-0.1352386
331,7840.092000,-0.1306534
332,7840.093000,-0.125145
333,7840.094000,-0.1196594
334,7840.095000,-0.1141815
335,7840.096000,-0.1083069
336,7840.097000,-0.1022644
337,7840.098000,-0.09529877
338,7840.099000,-0.08733368
339,7840.100000,-0.07891083
340,7840.101000,-0.06985474
341,7840.102000,-0.06629944
342,7840.103000,-0.06890869
343,7840.104000,-0.07469177
344,7840.105000,-0.0854187
345,7840.106000,-0.09768677
346,7840.107000,-0.111351
347,7840.108000,-0.1297455
348,7840.109000,-0.1522598
349,7840.110000,-0.174263
350,7840.111000,-0.1958618
351,7840.112000,-0.2189713
352,7840.113000,-0.2425079
353,7840.114000,-0.2701721
354,7840.115000,-0.3022919
355,7840.116000,-0.3361893
356,7840.117000,-0.3727646
357,7840.118000,-0.3813477
358,7840.119000,-0.3585587
359,7840.120000,-0.3194275
360,7840.121000,-0.2550201
361,7840.122000,-0.1823273
362,7840.123000,-0.1020813
363,7840.124000,0.00239563
364,7840.125000,0.1280594
365,7840.126000,0.1966324
366,7840.127000,0.2029648
367,7840.128000,0.1823654
368,7840.129000,0.1134186
369,7840.130000,0.04624176
370,7840.131000,-0.01651764
371,7840.132000,-0.1187286
372,7840.133000,-0.2503128
373,7840.134000,-0.3269806
374,7840.135000,-0.3464966
375,7840.136000,-0.3424454
376,7840.137000,-0.2928696
377,7840.138000,-0.2586136
378,7840.139000,-0.2427444
379,7840.140000,-0.1961212
380,7840.141000,-0.131485
381,7840.142000,-0.09544373
382,7840.143000,-0.08638763
383,7840.144000,-0.09078979
384,7840.145000,-0.1199875
385,7840.146000,-0.1340561
386,7840.147000,-0.1314621
387,7840.148000,-0.1416473
388,7840.149000,-0.1560974
389,7840.150000,-0.1635742
390,7840.151000,-0.1662292
391,7840.152000,-0.1634674
392,7840.153000,-0.1529007
393,7840.154000,-0.1497498
394,7840.155000,-0.1541672
395,7840.156000,-0.1477127
396,7840.157000,-0.1326981
397,7840.158000,-0.1534042
398,7840.159000,-0.2108154
399,7840.160000,-0.08162689
400,7840.161000,-0.1745911
401,7840.162000,-0.1531143
402,7840.163000,-0.1530457
403,7840.164000,-0.1530914
404,7840.165000,-0.1528549
405,7840.166000,-0.1529007
406,7840.167000,-0.1533051
407,7840.168000,-0.1535492
408,7840.169000,-0.1537476
409,7840.170000,-0.1539612
410,7840.171000,-0.154129
411,7840.172000,-0.1543198
412,7840.173000,-0.1545334
413,7840.174000,-0.1547318
414,7840.175000,-0.1549149
415,7840.176000,-0.1551132
416,7840.177000,-0.1553116
417,7840.178000,-0.1555099
418,7840.179000,-0.1557159
419,7840.180000,-0.1559219
420,7840.181000,-0.1561203
421,7840.182000,-0.1563263
422,7840.183000,-0.1565094
423,7840.184000,-0.1567001
424,7840.185000,-0.1568756
425,7840.186000,-0.1570511
426,7840.187000,-0.1572418
427,7840.188000,-0.1574173
428,7840.189000,-0.1575928
429,7840.190000,-0.1577682
430,7840.191000,-0.1579285
431,7840.192000,-0.1581039
432,7840.193000,-0.1582794
433,7840.194000,-0.1580811
434,7840.195000,-0.1574631
435,7840.196000,-0.1566162
436,7840.197000,-0.1553879
437,7840.198000,-0.1573181
438,7840.199000,-0.1627274
439,7840.200000,-0.1699066
440,7840.201000,-0.1798248
441,7840.202000,-0.1758957
442,7840.203000,-0.1565094
443,7840.204000,-0.1302872
