#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
211,7620.853000,6.365757
212,7620.854000,6.386077
213,7620.855000,6.442338
214,7620.856000,6.463944
215,7620.857000,6.456171
216,7620.858000,6.435746
217,7620.859000,6.387723
218,7620.860000,6.387092
219,7620.861000,6.437986
220,7620.862000,6.467871
221,7620.863000,6.492002
222,7620.864000,6.516922
223,7620.865000,6.531834
224,7620.866000,6.548182
225,7620.867000,6.563523
226,7620.868000,6.601389
227,7620.869000,6.665524
228,7620.870000,6.700964
229,7620.871000,6.710683
230,7620.872000,6.727487
231,7620.873000,6.74119
232,7620.874000,6.752904
233,7620.875000,6.766278
234,7620.876000,6.774343
235,7620.877000,6.778308
236,7620.878000,6.787555
237,7620.879000,6.801948
238,7620.880000,6.817576
239,7620.881000,6.836648
240,7620.882000,6.854761
241,7620.883000,6.871616
242,7620.884000,6.874896
243,7620.885000,6.883536
244,7620.886000,6.916513
245,7620.887000,6.92153
246,7620.888000,6.942632
247,7620.889000,6.960722
248,7620.890000,6.966663
249,7620.891000,6.945779
250,7620.892000,6.938577
251,7620.893000,6.937411
252,7620.894000,6.959354
253,7620.895000,7.012498
254,7620.896000,7.002768
255,7620.897000,6.929535
256,7620.898000,6.892908
257,7620.899000,6.897906
258,7620.900000,6.908625
259,7620.901000,6.922045
260,7620.902000,6.942957
261,7620.903000,6.960284
262,7620.904000,6.965187
263,7620.905000,6.951644
264,7620.906000,6.946185
265,7620.907000,6.916597
266,7620.908000,6.944917
267,7620.909000,7.028387
268,7620.910000,7.064616
269,7620.911000,7.063041
270,7620.912000,7.064775
271,7620.913000,7.096512
272,7620.914000,7.116784
273,7620.915000,7.148524
274,7620.916000,7.176794
275,7620.917000,7.202723
276,7620.918000,7.245227
277,7620.919000,7.251843
278,7620.920000,7.270279
279,7620.921000,7.280885
280,7620.922000,7.290419
281,7620.923000,7.29935
282,7620.924000,7.303127
283,7620.925000,7.302541
284,7620.926000,7.305096
285,7620.927000,7.310761
286,7620.928000,7.31638
287,7620.929000,7.323752
288,7620.930000,7.328107
289,7620.931000,7.329093
290,7620.932000,7.330544
291,7620.933000,7.331395
292,7620.934000,7.330214
293,7620.935000,7.327307
294,7620.936000,7.322645
295,7620.937000,7.315948
296,7620.938000,7.327373
297,7620.939000,7.358839
298,7620.940000,7.362843
299,7620.941000,7.341235
300,7620.942000,7.337492
301,7620.943000,7.360639
302,7620.944000,7.350961
303,7620.945000,7.35551
304,7620.946000,7.354535
305,7620.947000,7.356488
306,7620.948000,7.357381
307,7620.949000,7.358245
308,7620.950000,7.355496
309,7620.951000,7.34862
310,7620.952000,7.339591
311,7620.953000,7.327358
312,7620.954000,7.313599
313,7620.955000,7.298417
314,7620.956000,7.280017
315,7620.957000,7.258693
316,7620.958000,7.257662
317,7620.959000,7.278983
318,7620.960000,7.310939
319,7620.961000,7.360027
320,7620.962000,7.376092
321,7620.963000,7.354481
322,7620.964000,7.300602
323,7620.965000,7.237905
324,7620.966000,7.223882
325,7620.967000,7.225094
326,7620.968000,7.241457
327,7620.969000,7.271111
328,7620.970000,7.282402
329,7620.971000,7.269446
330,7620.972000,7.261671
331,7620.973000,7.249776
332,7620.974000,7.248096
333,7620.975000,7.260792
334,7620.976000,7.273598
335,7620.977000,7.291013
336,7620.978000,7.301062
337,7620.979000,7.30126
338,7620.980000,7.301117
339,7620.981000,7.297039
340,7620.982000,7.299364
341,7620.983000,7.309662
342,7620.984000,7.319877
343,7620.985000,7.332811
344,7620.986000,7.343367
345,7620.987000,7.350427
346,7620.988000,7.358734
347,7620.989000,7.366836
348,7620.990000,7.374201
349,7620.991000,7.381224
350,7620.992000,7.386335
351,7620.993000,7.389383
352,7620.994000,7.391315
353,7620.995000,7.391717
354,7620.996000,7.375473
355,7620.997000,7.370216
356,7620.998000,7.376987
357,7620.999000,7.40739
358,7621.000000,7.442532
359,7621.001000,7.50235
360,7621.002000,7.527359
361,7621.003000,7.534267
362,7621.004000,7.467412
363,7621.005000,7.41586
364,7621.006000,7.36119
365,7621.007000,7.337446
366,7621.008000,7.334795
367,7621.009000,7.370565
368,7621.010000,7.384096
369,7621.011000,7.377833
370,7621.012000,7.354073
371,7621.013000,7.298212
372,7621.014000,7.277945
373,7621.015000,7.292667
374,7621.016000,7.296329
375,7621.017000,7.302178
376,7621.018000,7.307714
377,7621.019000,7.307281
378,7621.020000,7.343567
379,7621.021000,7.349411
380,7621.022000,7.371717
381,7621.023000,7.388731
382,7621.024000,7.406867
383,7621.025000,7.424454
384,7621.026000,7.439162
385,7621.027000,7.450598
386,7621.028000,7.4688
387,7621.029000,7.493844
388,7621.030000,7.520968
389,7621.031000,7.552526
390,7621.032000,7.573235
391,7621.033000,7.569419
392,7621.034000,7.554334
393,7621.035000,7.517363
394,7621.036000,7.46683
395,7621.037000,7.413164
396,7621.038000,7.418674
397,7621.039000,7.408192
398,7621.040000,7.39863
399,7621.041000,7.36683
400,7621.042000,7.338879
401,7621.043000,7.305542
402,7621.044000,7.257404
403,7621.045000,7.194486
404,7621.046000,7.151076
405,7621.047000,7.127649
406,7621.048000,7.105158
407,7621.049000,7.091537
408,7621.050000,7.075511
409,7621.051000,7.055119
410,7621.052000,7.042096
411,7621.053000,7.033729
412,7621.054000,7.020284
413,7621.055000,7.002416
414,7621.056000,6.982867
415,7621.057000,6.959434
416,7621.058000,6.939279
417,7621.059000,6.922681
418,7621.060000,6.904292
419,7621.061000,6.885629
420,7621.062000,6.874482
421,7621.063000,6.87103
422,7621.064000,6.872664
423,7621.065000,6.881475
424,7621.066000,6.861523
425,7621.067000,6.809577
426,7621.068000,6.774272
427,7621.069000,6.748781
428,7621.070000,6.783325
429,7621.071000,6.892685
430,7621.072000,6.907328
431,7621.073000,6.867426
432,7621.074000,6.828772
433,7621.075000,6.753312
434,7621.076000,6.762639
435,7621.077000,6.865076
436,7621.078000,6.899242
437,7621.079000,6.885658
438,7621.080000,6.896457
439,7621.081000,6.905845
440,7621.082000,6.913782
441,7621.083000,6.91391
442,7621.084000,6.929059
443,7621.085000,6.956752
444,7621.086000,6.958359
445,7621.087000,6.946245
446,7621.088000,6.956015
447,7621.089000,6.991605
448,7621.090000,7.059966
449,7621.091000,7.043833
450,7621.092000,7.054336
