#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
187,7879.132000,-0.1670781
188,7879.133000,-0.1896509
189,7879.134000,-0.216316
190,7879.135000,-0.2302906
191,7879.136000,-0.2429471
192,7879.137000,-0.2515963
193,7879.138000,-0.2576582
194,7879.139000,-0.2621641
195,7879.140000,-0.2758706
196,7879.141000,-0.2886838
197,7879.142000,-0.289832
198,7879.143000,-0.3821175
199,7879.144000,-0.4630684
200,7879.145000,-0.5772732
201,7879.146000,-0.6225718
202,7879.147000,-0.5898429
203,7879.148000,-0.5058534
204,7879.149000,-0.4067298
205,7879.150000,-0.357033
206,7879.151000,-0.3911047
207,7879.152000,-0.5113092
208,7879.153000,-0.5816186
209,7879.154000,-0.6353548
210,7879.155000,-0.600609
211,7879.156000,-0.5615876
212,7879.157000,-0.494262
213,7879.158000,-0.4733397
214,7879.159000,-0.5131316
215,7879.160000,-0.4783574
216,7879.161000,-0.534169
217,7879.162000,-0.5357006
218,7879.163000,-0.5249137
219,7879.164000,-0.5199262
220,7879.165000,-0.513462
221,7879.166000,-0.505978
222,7879.167000,-0.5003939
223,7879.168000,-0.4905644
224,7879.169000,-0.4773187
225,7879.170000,-0.4637916
226,7879.171000,-0.4491787
227,7879.172000,-0.4326471
228,7879.173000,-0.4145688
229,7879.174000,-0.4010418
230,7879.175000,-0.3926381
231,7879.176000,-0.3866687
232,7879.177000,-0.3849124
233,7879.178000,-0.383175
234,7879.179000,-0.3813224
235,7879.180000,-0.3827728
236,7879.181000,-0.3867008
237,7879.182000,-0.3917524
238,7879.183000,-0.3982714
239,7879.184000,-0.3950289
240,7879.185000,-0.3806407
241,7879.186000,-0.422608
242,7879.187000,-0.404949
243,7879.188000,-0.4202871
244,7879.189000,-0.4308946
245,7879.190000,-0.4389565
246,7879.191000,-0.4438419
247,7879.192000,-0.4417552
248,7879.193000,-0.430838
249,7879.194000,-0.4472733
250,7879.195000,-0.4926361
251,7879.196000,-0.3947966
252,7879.197000,-0.4216317
253,7879.198000,-0.4662637
254,7879.199000,-0.4169955
255,7879.200000,-0.4224229
256,7879.201000,-0.4164535
257,7879.202000,-0.4079365
258,7879.203000,-0.3966605
259,7879.204000,-0.3863873
260,7879.205000,-0.3768241
261,7879.206000,-0.3647323
262,7879.207000,-0.3506613
263,7879.208000,-0.4014667
264,7879.209000,-0.4304886
265,7879.210000,-0.3916448
266,7879.211000,-0.4611516
267,7879.212000,-0.4811296
268,7879.213000,-0.5189102
269,7879.214000,-0.4994855
270,7879.215000,-0.4173241
271,7879.216000,-0.3013195
272,7879.217000,-0.1333482
273,7879.218000,-0.06748048
274,7879.219000,-0.1170923
275,7879.220000,-0.1796628
276,7879.221000,-0.2946816
277,7879.222000,-0.3854449
278,7879.223000,-0.3041352
279,7879.224000,-0.2633218
280,7879.225000,-0.1808676
281,7879.226000,-0.1385944
282,7879.227000,-0.1509449
283,7879.228000,-0.1506296
284,7879.229000,-0.1581475
285,7879.230000,-0.144781
286,7879.231000,-0.1010385
287,7879.232000,-0.05697874
288,7879.233000,-0.003161289
289,7879.234000,0.03041182
290,7879.235000,0.03802989
291,7879.236000,0.04203532
292,7879.237000,0.0334768
293,7879.238000,0.03724051
294,7879.239000,0.05679556
295,7879.240000,0.07238105
296,7879.241000,0.09050652
297,7879.242000,0.09678566
298,7879.243000,0.08806663
299,7879.244000,0.07637893
300,7879.245000,0.05742064
301,7879.246000,0.04955707
302,7879.247000,0.05545852
303,7879.248000,0.0429871
304,7879.249000,0.01532111
305,7879.250000,-0.005061083
306,7879.251000,-0.02292784
307,7879.252000,-0.04647132
308,7879.253000,-0.0727984
309,7879.254000,-0.1094082
310,7879.255000,-0.129543
311,7879.256000,-0.1588123
312,7879.257000,-0.1865614
313,7879.258000,-0.2162726
314,7879.259000,-0.2482027
315,7879.260000,-0.2791584
316,7879.261000,-0.3094456
317,7879.262000,-0.3450243
318,7879.263000,-0.3858019
319,7879.264000,-0.4019256
320,7879.265000,-0.447802
321,7879.266000,-0.4788389
322,7879.267000,-0.5130994
323,7879.268000,-0.5474185
324,7879.269000,-0.5817659
325,7879.270000,-0.6255065
326,7879.271000,-0.6795374
327,7879.272000,-0.7393847
328,7879.273000,-0.8077263
329,7879.274000,-0.8605844
330,7879.275000,-0.8958023
331,7879.276000,-0.9010032
332,7879.277000,-0.8670769
333,7879.278000,-0.8543109
334,7879.279000,-0.8601406
335,7879.280000,-0.8027709
336,7879.281000,-0.7486778
337,7879.282000,-0.7901201
338,7879.283000,-0.8244448
339,7879.284000,-0.8740472
340,7879.285000,-0.9116428
341,7879.286000,-0.9049633
342,7879.287000,-0.8366934
343,7879.288000,-0.7758433
344,7879.289000,-0.7093279
345,7879.290000,-0.738093
346,7879.291000,-0.8836463
347,7879.292000,-0.8594192
348,7879.293000,-0.675902
349,7879.294000,-0.7113013
350,7879.295000,-0.6433015
351,7879.296000,-0.5920297
352,7879.297000,-0.5909438
353,7879.298000,-0.5394058
354,7879.299000,-0.4650267
355,7879.300000,-0.3993459
356,7879.301000,-0.3346415
357,7879.302000,-0.2916223
358,7879.303000,-0.2781386
359,7879.304000,-0.2800875
360,7879.305000,-0.3059614
361,7879.306000,-0.3073928
362,7879.307000,-0.2806503
363,7879.308000,-0.2578849
364,7879.309000,-0.2270972
365,7879.310000,-0.2251219
366,7879.311000,-0.2577659
367,7879.312000,-0.313334
368,7879.313000,-0.4037158
369,7879.314000,-0.3329041
370,7879.315000,-0.245438
371,7879.316000,-0.2369815
372,7879.317000,-0.3453415
373,7879.318000,-0.4110846
374,7879.319000,-0.4728789
375,7879.320000,-0.5254198
376,7879.321000,-0.5471919
377,7879.322000,-0.4957426
378,7879.323000,-0.3547196
379,7879.324000,-0.3464009
380,7879.325000,-0.3884684
381,7879.326000,-0.4705089
382,7879.327000,-0.5079213
