#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
213,7642.172000,-0.1553162
214,7642.173000,-0.1620076
215,7642.174000,-0.1592485
216,7642.175000,-0.169258
217,7642.176000,-0.1737924
218,7642.177000,-0.1801966
219,7642.178000,-0.1793138
220,7642.179000,-0.1702846
221,7642.180000,-0.1656033
222,7642.181000,-0.1638354
223,7642.182000,-0.1800762
224,7642.183000,-0.218532
225,7642.184000,-0.2011837
226,7642.185000,-0.2043676
227,7642.186000,-0.1904127
228,7642.187000,-0.177298
229,7642.188000,-0.222861
230,7642.189000,-0.169008
231,7642.190000,-0.1900621
232,7642.191000,-0.2308605
233,7642.192000,-0.1882762
234,7642.193000,-0.2254093
235,7642.194000,-0.2097145
236,7642.195000,-0.1890671
237,7642.196000,-0.162862
238,7642.197000,-0.196295
239,7642.198000,-0.2327777
240,7642.199000,-0.1479901
241,7642.200000,-0.2262294
242,7642.201000,-0.271409
243,7642.202000,-0.1388162
244,7642.203000,-0.2032435
245,7642.204000,-0.2518361
246,7642.205000,-0.2202087
247,7642.206000,-0.2163808
248,7642.207000,-0.1913652
249,7642.208000,-0.2386746
250,7642.209000,-0.1700542
251,7642.210000,-0.1222643
252,7642.211000,-0.2140073
253,7642.212000,-0.2217265
254,7642.213000,-0.1781389
255,7642.214000,-0.202728
256,7642.215000,-0.2431008
257,7642.216000,-0.1897016
258,7642.217000,-0.1964988
259,7642.218000,-0.2314576
260,7642.219000,-0.1700408
261,7642.220000,-0.1894329
262,7642.221000,-0.2349536
263,7642.222000,-0.2005344
264,7642.223000,-0.2258673
265,7642.224000,-0.2177287
266,7642.225000,-0.2138945
267,7642.226000,-0.2448082
268,7642.227000,-0.2366539
269,7642.228000,-0.2445159
270,7642.229000,-0.2632455
271,7642.230000,-0.2551666
272,7642.231000,-0.256567
273,7642.232000,-0.2519947
274,7642.233000,-0.2497179
275,7642.234000,-0.2280555
276,7642.235000,-0.2623697
277,7642.236000,-0.2444079
278,7642.237000,-0.2472717
279,7642.238000,-0.2448274
280,7642.239000,-0.2491525
281,7642.240000,-0.2555802
282,7642.241000,-0.2665113
283,7642.242000,-0.3046164
284,7642.243000,-0.3728414
285,7642.244000,-0.3637079
286,7642.245000,-0.2743012
287,7642.246000,-0.25483
288,7642.247000,-0.263898
289,7642.248000,-0.3152094
290,7642.249000,-0.2784589
291,7642.250000,-0.2877594
292,7642.251000,-0.2845527
293,7642.252000,-0.3343783
294,7642.253000,-0.3368497
295,7642.254000,-0.3536465
296,7642.255000,-0.3495699
297,7642.256000,-0.3386629
298,7642.257000,-0.3149913
299,7642.258000,-0.3183078
300,7642.259000,-0.3516363
301,7642.260000,-0.2997904
302,7642.261000,-0.2716881
303,7642.262000,-0.3704663
304,7642.263000,-0.2306832
305,7642.264000,-0.2560048
306,7642.265000,-0.3039773
307,7642.266000,-0.2939549
308,7642.267000,-0.2744356
309,7642.268000,-0.2753037
310,7642.269000,-0.3186039
311,7642.270000,-0.3013575
312,7642.271000,-0.2361283
313,7642.272000,-0.2190206
314,7642.273000,-0.1871052
315,7642.274000,-0.2191919
316,7642.275000,-0.3659405
317,7642.276000,-0.2336925
318,7642.277000,-0.2173641
319,7642.278000,-0.2808912
320,7642.279000,-0.2285527
321,7642.280000,-0.2342408
322,7642.281000,-0.2122771
323,7642.282000,-0.1951322
324,7642.283000,-0.1947946
325,7642.284000,-0.1866498
326,7642.285000,-0.1605321
327,7642.286000,-0.1480327
328,7642.287000,-0.1402469
329,7642.288000,-0.1840554
330,7642.289000,-0.2160438
331,7642.290000,-0.2053906
332,7642.291000,-0.2032977
333,7642.292000,-0.1798264
334,7642.293000,-0.1494965
335,7642.294000,-0.115511
336,7642.295000,-0.08378609
337,7642.296000,-0.08496775
338,7642.297000,-0.1271384
339,7642.298000,-0.1315485
340,7642.299000,-0.1035803
341,7642.300000,-0.08741221
342,7642.301000,-0.07557454
343,7642.302000,-0.07222234
344,7642.303000,-0.06002076
345,7642.304000,-0.05394735
346,7642.305000,-0.04645477
347,7642.306000,-0.03605256
348,7642.307000,-0.02166948
349,7642.308000,-0.006118729
350,7642.309000,0.01169287
351,7642.310000,0.01490941
352,7642.311000,0.001692699
353,7642.312000,0.01000497
354,7642.313000,0.03802601
355,7642.314000,0.04983314
356,7642.315000,0.05126308
357,7642.316000,0.05943273
358,7642.317000,0.0692654
359,7642.318000,0.0805985
360,7642.319000,0.06867807
361,7642.320000,0.07547055
362,7642.321000,0.09091924
363,7642.322000,0.09891256
364,7642.323000,0.1027072
365,7642.324000,0.1290369
366,7642.325000,0.1345329
367,7642.326000,0.1203569
368,7642.327000,0.1185839
369,7642.328000,0.1229731
370,7642.329000,0.1494776
371,7642.330000,0.1605412
372,7642.331000,0.1611034
373,7642.332000,0.1605232
374,7642.333000,0.1527917
375,7642.334000,0.1952451
376,7642.335000,0.1770013
377,7642.336000,0.1897696
378,7642.337000,0.1955729
379,7642.338000,0.1923638
380,7642.339000,0.2040558
381,7642.340000,0.2075556
382,7642.341000,0.2118086
383,7642.342000,0.2167693
384,7642.343000,0.2221226
385,7642.344000,0.2281512
386,7642.345000,0.235102
387,7642.346000,0.2435248
388,7642.347000,0.2536811
389,7642.348000,0.2757072
390,7642.349000,0.2880262
391,7642.350000,0.2907585
392,7642.351000,0.2744572
393,7642.352000,0.2677948
394,7642.353000,0.3005493
395,7642.354000,0.3073246
396,7642.355000,0.3059924
397,7642.356000,0.3171704
398,7642.357000,0.3361701
399,7642.358000,0.3476376
400,7642.359000,0.3539581
401,7642.360000,0.3794605
402,7642.361000,0.3665597
403,7642.362000,0.375044
404,7642.363000,0.3851773
405,7642.364000,0.3905942
406,7642.365000,0.3935097
407,7642.366000,0.406893
408,7642.367000,0.4306575
409,7642.368000,0.4375198
410,7642.369000,0.4283632
411,7642.370000,0.4321084
412,7642.371000,0.4445711
413,7642.372000,0.4493543
414,7642.373000,0.4505422
415,7642.374000,0.4601135
416,7642.375000,0.4768385
417,7642.376000,0.4952042
418,7642.377000,0.5174877
419,7642.378000,0.5279461
420,7642.379000,0.5090722
421,7642.380000,0.5136867
422,7642.381000,0.532931
423,7642.382000,0.535701
424,7642.383000,0.5277541
425,7642.384000,0.5260552
426,7642.385000,0.5264968
427,7642.386000,0.5244536
428,7642.387000,0.5221148
429,7642.388000,0.5467029
430,7642.389000,0.5490694
431,7642.390000,0.5590734
432,7642.391000,0.5726272
433,7642.392000,0.5728574
434,7642.393000,0.5618172
435,7642.394000,0.5622166
436,7642.395000,0.5726381
437,7642.396000,0.5780087
438,7642.397000,0.5824387
439,7642.398000,0.5882841
440,7642.399000,0.5938348
441,7642.400000,0.5892439
442,7642.401000,0.5832865
443,7642.402000,0.6014227
444,7642.403000,0.6066806
445,7642.404000,0.577705
446,7642.405000,0.6046753
447,7642.406000,0.597963
448,7642.407000,0.5920787
449,7642.408000,0.5932335
450,7642.409000,0.600736
451,7642.410000,0.6004033
452,7642.411000,0.5937075
453,7642.412000,0.5943187
454,7642.413000,0.5945219
455,7642.414000,0.5992179
456,7642.415000,0.6084195
457,7642.416000,0.6031852
458,7642.417000,0.6213949
459,7642.418000,0.6235361
460,7642.419000,0.6218358
461,7642.420000,0.6163886
462,7642.421000,0.6048211
463,7642.422000,0.6084957
464,7642.423000,0.6288619
465,7642.424000,0.5918961
466,7642.425000,0.5852951
467,7642.426000,0.6401131
468,7642.427000,0.5931965
469,7642.428000,0.599294
470,7642.429000,0.5940365
471,7642.430000,0.5921537
472,7642.431000,0.5943804
473,7642.432000,0.5978464
474,7642.433000,0.6038732
475,7642.434000,0.6090453
476,7642.435000,0.6129892
477,7642.436000,0.6050606
478,7642.437000,0.5830253
479,7642.438000,0.5740128
480,7642.439000,0.5765173
481,7642.440000,0.5736985
482,7642.441000,0.5705356
483,7642.442000,0.5691206
484,7642.443000,0.5676664
485,7642.444000,0.5646882
486,7642.445000,0.5598097
487,7642.446000,0.5667651
488,7642.447000,0.5493618
489,7642.448000,0.5493635
490,7642.449000,0.5542621
491,7642.450000,0.5505174
492,7642.451000,0.5396668
493,7642.452000,0.5330077
494,7642.453000,0.5281874
495,7642.454000,0.5166471
496,7642.455000,0.5306739
497,7642.456000,0.525617
498,7642.457000,0.5127982
499,7642.458000,0.508998
500,7642.459000,0.5113116
501,7642.460000,0.5087147
502,7642.461000,0.5036653
503,7642.462000,0.5008232
504,7642.463000,0.4988402
505,7642.464000,0.4962432
506,7642.465000,0.4935586
507,7642.466000,0.4909489
508,7642.467000,0.4882528
509,7642.468000,0.4855117
510,7642.469000,0.4826862
511,7642.470000,0.4809067
512,7642.471000,0.4802832
513,7642.472000,0.4802464
514,7642.473000,0.481087
515,7642.474000,0.4750758
516,7642.475000,0.461504
517,7642.476000,0.4583893
518,7642.477000,0.4649685
519,7642.478000,0.4639774
520,7642.479000,0.4582213
521,7642.480000,0.45639
522,7642.481000,0.4561113
523,7642.482000,0.4537367
524,7642.483000,0.4501045
525,7642.484000,0.4356595
526,7642.485000,0.4536844
527,7642.486000,0.4444915
528,7642.487000,0.4239309
529,7642.488000,0.444506
530,7642.489000,0.4279146
531,7642.490000,0.4134384
532,7642.491000,0.4226846
533,7642.492000,0.4142713
534,7642.493000,0.4037088
535,7642.494000,0.3933211
536,7642.495000,0.3904221
537,7642.496000,0.3794895
538,7642.497000,0.3644886
539,7642.498000,0.3668643
540,7642.499000,0.3751552
541,7642.500000,0.3372158
542,7642.501000,0.3301248
543,7642.502000,0.3582418
544,7642.503000,0.3005775
545,7642.504000,0.3008744
546,7642.505000,0.3096853
547,7642.506000,0.3049495
548,7642.507000,0.290986
549,7642.508000,0.2848489
550,7642.509000,0.2823565
551,7642.510000,0.2737127
552,7642.511000,0.2605194
553,7642.512000,0.2526895
554,7642.513000,0.2492232
555,7642.514000,0.224578
556,7642.515000,0.2532967
557,7642.516000,0.2381375
558,7642.517000,0.2043855
559,7642.518000,0.2180816
560,7642.519000,0.2114641
561,7642.520000,0.2007669
562,7642.521000,0.1980671
563,7642.522000,0.201836
564,7642.523000,0.1914664
565,7642.524000,0.192964
566,7642.525000,0.1974428
567,7642.526000,0.1836747
568,7642.527000,0.1915688
569,7642.528000,0.1888192
570,7642.529000,0.1884353
571,7642.530000,0.1886749
572,7642.531000,0.189545
573,7642.532000,0.1924676
574,7642.533000,0.1976802
575,7642.534000,0.1948514
576,7642.535000,0.1834629
577,7642.536000,0.2085302
578,7642.537000,0.1947365
579,7642.538000,0.1896711
580,7642.539000,0.194832
581,7642.540000,0.1921887
582,7642.541000,0.1906177
583,7642.542000,0.1834642
584,7642.543000,0.1700929
585,7642.544000,0.1605984
586,7642.545000,0.1542106
587,7642.546000,0.119857
588,7642.547000,0.1353474
589,7642.548000,0.1315261
590,7642.549000,0.1368698
591,7642.550000,0.1387156
592,7642.551000,0.136172
593,7642.552000,0.1297204
594,7642.553000,0.116647
595,7642.554000,0.1114073
596,7642.555000,0.1140466
597,7642.556000,0.1146177
598,7642.557000,0.1160371
599,7642.558000,0.1165292
600,7642.559000,0.1147824
601,7642.560000,0.1133419
602,7642.561000,0.1113331
603,7642.562000,0.111204
604,7642.563000,0.1133286
605,7642.564000,0.1104857
606,7642.565000,0.1148056
607,7642.566000,0.1097293
608,7642.567000,0.09844285
609,7642.568000,0.09964754
610,7642.569000,0.09713465
611,7642.570000,0.0645287
612,7642.571000,0.07850858
613,7642.572000,0.06863786
614,7642.573000,0.06322437
615,7642.574000,0.06596068
616,7642.575000,0.07710779
617,7642.576000,0.0682039
618,7642.577000,0.09192127
619,7642.578000,0.08161251
620,7642.579000,0.05250149
621,7642.580000,0.04166202
622,7642.581000,0.04526598
623,7642.582000,0.03784542
624,7642.583000,0.02573381
625,7642.584000,0.02179358
626,7642.585000,0.023638
627,7642.586000,0.01893023
628,7642.587000,0.0089476
629,7642.588000,0.002750639
630,7642.589000,-0.001603264
631,7642.590000,-0.01629979
632,7642.591000,-0.007976383
633,7642.592000,-0.01277311
634,7642.593000,-0.01887239
635,7642.594000,-0.004553281
636,7642.595000,-0.02415502
637,7642.596000,-0.04151569
638,7642.597000,-0.05364076
639,7642.598000,-0.0626596
640,7642.599000,-0.05935441
641,7642.600000,-0.06051727
642,7642.601000,-0.06310987
643,7642.602000,-0.07475252
644,7642.603000,-0.09879201
645,7642.604000,-0.06934547
646,7642.605000,-0.09043675
647,7642.606000,-0.09706922
648,7642.607000,-0.1016071
649,7642.608000,-0.1113483
650,7642.609000,-0.120634
651,7642.610000,-0.1234854
652,7642.611000,-0.1186679
653,7642.612000,-0.11837
654,7642.613000,-0.121186
655,7642.614000,-0.1248568
656,7642.615000,-0.1776548
657,7642.616000,-0.1721053
658,7642.617000,-0.123963
659,7642.618000,-0.1712766
660,7642.619000,-0.1529884
661,7642.620000,-0.1622907
662,7642.621000,-0.1563849
663,7642.622000,-0.1680028
664,7642.623000,-0.1948431
665,7642.624000,-0.2075557
666,7642.625000,-0.209073
667,7642.626000,-0.2170929
668,7642.627000,-0.2267298
669,7642.628000,-0.2259808
670,7642.629000,-0.2159218
671,7642.630000,-0.2265458
672,7642.631000,-0.2365524
673,7642.632000,-0.2354813
674,7642.633000,-0.2185646
675,7642.634000,-0.2821548
676,7642.635000,-0.2383177
