#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
225,7758.063000,-5.907568
226,7758.064000,-5.856159
227,7758.065000,-5.788811
228,7758.066000,-5.797869
229,7758.067000,-5.800292
230,7758.068000,-5.800994
231,7758.069000,-5.613626
232,7758.070000,-5.543052
233,7758.071000,-5.485917
234,7758.072000,-5.452885
235,7758.073000,-5.541562
236,7758.074000,-5.477631
237,7758.075000,-5.286764
238,7758.076000,-5.311976
239,7758.077000,-5.339367
240,7758.078000,-5.117569
241,7758.079000,-5.049287
242,7758.080000,-5.119544
243,7758.081000,-4.944264
244,7758.082000,-5.008397
245,7758.083000,-4.957232
246,7758.084000,-4.839149
247,7758.085000,-4.771944
248,7758.086000,-4.713679
249,7758.087000,-4.788481
250,7758.088000,-4.664545
251,7758.089000,-4.587907
252,7758.090000,-4.66349
253,7758.091000,-4.406242
254,7758.092000,-4.400268
255,7758.093000,-4.40868
256,7758.094000,-4.319188
257,7758.095000,-4.420315
258,7758.096000,-4.338551
259,7758.097000,-4.291642
260,7758.098000,-4.232468
261,7758.099000,-3.947124
262,7758.100000,-4.159736
263,7758.101000,-4.230612
264,7758.102000,-3.852828
265,7758.103000,-3.972776
266,7758.104000,-4.136488
267,7758.105000,-3.851994
268,7758.106000,-3.902047
269,7758.107000,-3.834018
270,7758.108000,-3.81608
271,7758.109000,-3.8107
272,7758.110000,-3.757092
273,7758.111000,-3.721197
274,7758.112000,-3.72235
275,7758.113000,-3.693726
276,7758.114000,-3.650453
277,7758.115000,-3.678663
278,7758.116000,-3.620552
279,7758.117000,-3.568982
280,7758.118000,-3.661803
281,7758.119000,-3.547202
282,7758.120000,-3.554154
283,7758.121000,-3.558841
284,7758.122000,-3.497132
285,7758.123000,-3.52491
286,7758.124000,-3.479705
287,7758.125000,-3.409997
288,7758.126000,-3.504302
289,7758.127000,-3.481637
290,7758.128000,-3.331798
291,7758.129000,-3.313907
292,7758.130000,-3.435328
293,7758.131000,-3.356624
294,7758.132000,-3.352861
295,7758.133000,-3.268917
296,7758.134000,-3.149457
297,7758.135000,-3.486528
298,7758.136000,-3.292983
299,7758.137000,-3.228788
300,7758.138000,-3.353045
301,7758.139000,-3.19589
302,7758.140000,-3.09078
303,7758.141000,-3.202543
304,7758.142000,-3.152358
305,7758.143000,-3.119327
306,7758.144000,-3.103724
307,7758.145000,-2.97062
308,7758.146000,-3.183469
309,7758.147000,-3.119373
310,7758.148000,-2.908105
311,7758.149000,-3.004781
312,7758.150000,-3.016953
313,7758.151000,-3.011883
314,7758.152000,-2.902691
315,7758.153000,-2.970007
316,7758.154000,-2.923541
317,7758.155000,-2.872167
318,7758.156000,-2.829181
319,7758.157000,-2.713316
320,7758.158000,-2.776417
321,7758.159000,-3.180273
322,7758.160000,-2.92681
323,7758.161000,-3.167043
324,7758.162000,-3.097581
325,7758.163000,-3.000898
326,7758.164000,-2.813704
327,7758.165000,-2.665521
328,7758.166000,-2.626102
329,7758.167000,-2.758634
330,7758.168000,-2.616666
331,7758.169000,-2.586655
332,7758.170000,-2.672652
333,7758.171000,-2.724777
334,7758.172000,-2.617025
335,7758.173000,-2.679996
336,7758.174000,-2.531644
337,7758.175000,-2.392113
338,7758.176000,-2.868862
339,7758.177000,-2.80909
340,7758.178000,-2.486336
341,7758.179000,-2.545459
342,7758.180000,-2.406773
343,7758.181000,-2.451644
344,7758.182000,-2.659786
345,7758.183000,-2.432288
346,7758.184000,-2.383751
347,7758.185000,-2.444219
348,7758.186000,-2.362083
349,7758.187000,-2.279118
350,7758.188000,-2.329567
351,7758.189000,-2.304669
352,7758.190000,-2.159133
353,7758.191000,-2.225174
354,7758.192000,-2.422534
355,7758.193000,-2.409791
356,7758.194000,-2.407804
357,7758.195000,-2.466987
358,7758.196000,-2.528465
359,7758.197000,-2.477966
360,7758.198000,-2.060001
361,7758.199000,-2.089162
362,7758.200000,-2.076744
363,7758.201000,-2.281826
364,7758.202000,-2.528149
365,7758.203000,-2.109566
366,7758.204000,-2.233458
367,7758.205000,-2.323987
368,7758.206000,-2.166239
369,7758.207000,-2.186616
370,7758.208000,-2.219532
371,7758.209000,-2.204667
372,7758.210000,-2.191456
