DATE,DEXTAUS
2008-01-28,32.320
2008-01-29,32.290
2008-01-30,32.200
2008-01-31,32.150
2008-02-01,32.030
2008-02-04,32.030
2008-02-05,32.000
2008-02-06,32.0000
2008-02-07,32.0000
2008-02-08,32.0000
2008-02-11,32.0000
2008-02-12,31.8700
2008-02-13,31.6300
2008-02-14,31.6900
2008-02-15,31.7300
2008-02-18,.
2008-02-19,31.6600
2008-02-20,31.6300
2008-02-21,31.5200
2008-02-22,31.3100
2008-02-25,31.2500
2008-02-26,31.1800
2008-02-27,30.9000
2008-02-28,30.9000
2008-02-29,30.9200
2008-03-03,31.0900
2008-03-04,30.9100
2008-03-05,30.8300
2008-03-06,30.7000
2008-03-07,30.7100
2008-03-10,30.6300
2008-03-11,30.5800
2008-03-12,30.6800
2008-03-13,30.6600
2008-03-14,30.7400
2008-03-17,30.8500
2008-03-18,30.7200
2008-03-19,30.7100
2008-03-20,30.6600
2008-03-21,30.5000
2008-03-24,30.1900
2008-03-25,30.0800
2008-03-26,29.9900
2008-03-27,30.1400
2008-03-28,30.3800
2008-03-31,30.3700
2008-04-01,30.3000
2008-04-02,30.3700
2008-04-03,30.4100
2008-04-04,30.4100
2008-04-07,30.4100
2008-04-08,30.5200
2008-04-09,30.4500
2008-04-10,30.3000
2008-04-11,30.2900
2008-04-14,30.3100
2008-04-15,30.2500
2008-04-16,30.2400
2008-04-17,30.2900
2008-04-18,30.4100
2008-04-21,30.2700
2008-04-22,30.2600
2008-04-23,30.2900
2008-04-24,30.3500
2008-04-25,30.3400
2008-04-28,30.4200
2008-04-29,30.4600
2008-04-30,30.4700
2008-05-01,30.5100
2008-05-02,30.4900
2008-05-05,30.4600
2008-05-06,30.4400
2008-05-07,30.6400
2008-05-08,30.8500
2008-05-09,30.7400
2008-05-12,30.7900
2008-05-13,30.8600
2008-05-14,30.9900
2008-05-15,30.9100
2008-05-16,30.6000
2008-05-19,30.4700
2008-05-20,30.5400
2008-05-21,30.4000
2008-05-22,30.3600
2008-05-23,30.4900
2008-05-26,.
2008-05-27,30.5300
2008-05-28,30.4900
2008-05-29,30.4400
2008-05-30,30.3700
2008-06-02,30.1500
2008-06-03,30.3700
2008-06-04,30.3500
2008-06-05,30.3800
2008-06-06,30.4100
2008-06-09,30.3200
2008-06-10,30.4400
2008-06-11,30.3400
2008-06-12,30.3900
2008-06-13,30.4400
2008-06-16,30.3800
2008-06-17,30.3300
2008-06-18,30.3800
2008-06-19,30.3900
2008-06-20,30.4200
2008-06-23,30.4400
2008-06-24,30.4000
2008-06-25,30.3300
