DATE,DEXUSAL
2007-02-05,0.7769
2007-02-06,0.7769
2007-02-07,0.7786
2007-02-08,0.7812
2007-02-09,0.7765
2007-02-12,0.7726
2007-02-13,0.7774
2007-02-14,0.7833
2007-02-15,0.7847
2007-02-16,0.7868
2007-02-19,.
2007-02-20,0.7852
2007-02-21,0.7899
2007-02-22,0.7895
2007-02-23,0.7920
2007-02-26,0.7931
2007-02-27,0.7933
2007-02-28,0.7892
2007-03-01,0.7863
2007-03-02,0.7834
2007-03-05,0.7728
2007-03-06,0.7737
2007-03-07,0.7765
2007-03-08,0.7758
2007-03-09,0.7806
2007-03-12,0.7839
2007-03-13,0.7871
2007-03-14,0.7860
2007-03-15,0.7884
2007-03-16,0.7948
2007-03-19,0.7996
2007-03-20,0.8016
2007-03-21,0.8015
2007-03-22,0.8083
2007-03-23,0.8062
2007-03-26,0.8097
2007-03-27,0.8089
2007-03-28,0.8064
2007-03-29,0.8078
2007-03-30,0.8104
2007-04-02,0.8166
2007-04-03,0.8131
2007-04-04,0.8180
2007-04-05,0.8193
2007-04-06,0.8177
2007-04-09,0.8167
2007-04-10,0.8250
2007-04-11,0.8259
2007-04-12,0.8276
2007-04-13,0.8326
2007-04-16,0.8327
2007-04-17,0.8367
2007-04-18,0.8353
2007-04-19,0.8356
2007-04-20,0.8363
2007-04-23,0.8339
2007-04-24,0.8284
2007-04-25,0.8333
2007-04-26,0.8254
2007-04-27,0.8311
2007-04-30,0.8326
2007-05-01,0.8287
2007-05-02,0.8247
2007-05-03,0.8241
2007-05-04,0.8207
2007-05-07,0.8254
2007-05-08,0.8277
2007-05-09,0.8285
2007-05-10,0.8320
2007-05-11,0.8326
2007-05-14,0.8333
2007-05-15,0.8348
2007-05-16,0.8248
2007-05-17,0.8219
2007-05-18,0.8250
2007-05-21,0.8200
2007-05-22,0.8213
2007-05-23,0.8246
2007-05-24,0.8207
2007-05-25,0.8190
2007-05-28,.
2007-05-29,0.8202
2007-05-30,0.8220
2007-05-31,0.8272
2007-06-01,0.8313
2007-06-04,0.8341
2007-06-05,0.8371
2007-06-06,0.8408
2007-06-07,0.8447
2007-06-08,0.8427
2007-06-11,0.8426
2007-06-12,0.8439
2007-06-13,0.8402
2007-06-14,0.8349
2007-06-15,0.8400
2007-06-18,0.8421
2007-06-19,0.8460
2007-06-20,0.8458
2007-06-21,0.8468
2007-06-22,0.8482
2007-06-25,0.8480
2007-06-26,0.8474
2007-06-27,0.8375
2007-06-28,0.8461
2007-06-29,0.8491
2007-07-02,0.8596
2007-07-03,0.8543
2007-07-04,.
2007-07-05,0.8561
2007-07-06,0.8569
2007-07-09,0.8605
2007-07-10,0.8622
2007-07-11,0.8614
2007-07-12,0.8638
2007-07-13,0.8688
