DATE,DEXINUS
2007-02-05,44.03
2007-02-06,44.03
2007-02-07,44.01
2007-02-08,43.98
2007-02-09,43.93
2007-02-12,44.00
2007-02-13,44.02
2007-02-14,44.00
2007-02-15,43.91
2007-02-16,43.87
2007-02-19,.
2007-02-20,44.12
2007-02-21,44.00
2007-02-22,44.05
2007-02-23,44.08
2007-02-26,44.04
2007-02-27,44.21
2007-02-28,44.08
2007-03-01,44.11
2007-03-02,44.10
2007-03-05,44.43
2007-03-06,44.18
2007-03-07,44.18
2007-03-08,44.19
2007-03-09,44.07
2007-03-12,44.11
2007-03-13,44.08
2007-03-14,44.25
2007-03-15,44.19
2007-03-16,44.08
2007-03-19,44.04
2007-03-20,43.53
2007-03-21,43.28
2007-03-22,43.52
2007-03-23,43.56
2007-03-26,43.20
2007-03-27,43.03
2007-03-28,42.78
2007-03-29,43.45
2007-03-30,43.10
2007-04-02,43.05
2007-04-03,43.04
2007-04-04,42.84
2007-04-05,42.76
2007-04-06,42.74
2007-04-09,42.65
2007-04-10,42.65
2007-04-11,42.69
2007-04-12,42.65
2007-04-13,42.42
2007-04-16,41.75
2007-04-17,41.98
2007-04-18,42.00
2007-04-19,42.08
2007-04-20,41.70
2007-04-23,41.65
2007-04-24,40.75
2007-04-25,40.58
2007-04-26,40.56
2007-04-27,40.79
2007-04-30,41.04
2007-05-01,41.00
2007-05-02,41.04
2007-05-03,40.82
2007-05-04,40.58
2007-05-07,40.53
2007-05-08,40.64
2007-05-09,40.67
2007-05-10,41.04
2007-05-11,40.74
2007-05-14,40.59
2007-05-15,40.64
2007-05-16,40.58
2007-05-17,40.59
2007-05-18,40.36
2007-05-21,40.48
2007-05-22,40.14
2007-05-23,40.28
2007-05-24,40.43
2007-05-25,40.28
2007-05-28,.
2007-05-29,40.19
2007-05-30,40.53
2007-05-31,40.36
2007-06-01,40.27
2007-06-04,40.50
2007-06-05,40.28
2007-06-06,40.41
2007-06-07,40.51
2007-06-08,40.82
2007-06-11,40.55
2007-06-12,40.48
2007-06-13,40.70
2007-06-14,40.66
2007-06-15,40.52
2007-06-18,40.50
2007-06-19,40.58
2007-06-20,40.59
2007-06-21,40.59
2007-06-22,40.55
2007-06-25,40.73
2007-06-26,40.90
2007-06-27,40.88
2007-06-28,40.80
2007-06-29,40.58
2007-07-02,40.42
2007-07-03,40.41
2007-07-04,.
2007-07-05,40.34
2007-07-06,40.36
2007-07-09,40.37
2007-07-10,40.30
2007-07-11,40.31
2007-07-12,40.28
2007-07-13,40.26
2007-07-16,40.22
2007-07-17,40.23
2007-07-18,40.23
2007-07-19,40.26
2007-07-20,40.18
2007-07-23,40.12
2007-07-24,40.15
2007-07-25,40.24
2007-07-26,40.24
2007-07-27,40.38
2007-07-30,40.27
2007-07-31,40.18
2007-08-01,40.25
2007-08-02,40.36
2007-08-03,40.25
2007-08-06,40.25
2007-08-07,40.26
2007-08-08,40.29
2007-08-09,40.40
2007-08-10,40.45
2007-08-13,40.40
2007-08-14,40.80
2007-08-15,40.55
2007-08-16,41.15
2007-08-17,41.04
2007-08-20,40.91
2007-08-21,41.01
2007-08-22,40.77
2007-08-23,41.00
2007-08-24,40.90
2007-08-27,40.88
2007-08-28,41.10
2007-08-29,40.95
2007-08-30,41.02
2007-08-31,40.63
2007-09-03,40.63
2007-09-04,40.76
2007-09-05,40.81
2007-09-06,40.60
2007-09-07,40.40
2007-09-10,40.48
2007-09-11,40.36
2007-09-12,40.34
2007-09-13,40.25
2007-09-14,40.40
2007-09-17,40.52
2007-09-18,40.45
2007-09-19,39.81
2007-09-20,39.87
2007-09-21,39.84
2007-09-24,39.50
2007-09-25,39.55
2007-09-26,39.50
2007-09-27,39.65
2007-09-28,39.75
2007-10-01,39.70
2007-10-02,39.65
2007-10-03,39.38
2007-10-04,39.37
2007-10-05,39.47
2007-10-08,39.47
2007-10-09,38.48
2007-10-10,39.13
2007-10-11,39.20
2007-10-12,39.16
2007-10-15,39.29
2007-10-16,39.23
2007-10-17,39.35
2007-10-18,39.72
2007-10-19,39.60
2007-10-22,39.72
2007-10-23,39.48
2007-10-24,39.49
2007-10-25,39.35
2007-10-26,39.30
2007-10-29,39.32
2007-10-30,39.30
2007-10-31,39.26
2007-11-01,39.22
2007-11-02,39.25
2007-11-05,39.18
2007-11-06,39.23
2007-11-07,39.15
2007-11-08,39.13
2007-11-09,39.11
2007-11-12,.
2007-11-13,39.22
2007-11-14,39.18
2007-11-15,39.18
2007-11-16,39.24
2007-11-19,39.23
2007-11-20,39.32
2007-11-21,39.29
2007-11-22,39.29
2007-11-23,39.65
2007-11-26,39.58
2007-11-27,39.68
2007-11-28,39.56
2007-11-29,39.65
2007-11-30,39.52
2007-12-03,39.39
2007-12-04,39.33
2007-12-05,39.31
2007-12-06,39.39
2007-12-07,39.36
2007-12-10,39.30
2007-12-11,39.31
2007-12-12,39.29
2007-12-13,39.29
2007-12-14,39.30
2007-12-17,39.49
2007-12-18,39.48
2007-12-19,39.55
2007-12-20,39.41
2007-12-21,39.30
2007-12-24,39.38
2007-12-25,.
2007-12-26,39.38
2007-12-27,39.40
2007-12-28,39.43
2007-12-31,39.41
2008-01-01,.
2008-01-02,39.41
2008-01-03,39.26
2008-01-04,39.15
2008-01-07,39.15
2008-01-08,39.13
2008-01-09,39.13
2008-01-10,39.27
2008-01-11,39.15
2008-01-14,39.14
2008-01-15,39.26
2008-01-16,39.29
2008-01-17,39.16
2008-01-18,39.20
2008-01-21,.
2008-01-22,39.38
2008-01-23,39.55
2008-01-24,39.37
2008-01-25,39.33
2008-01-28,39.35
2008-01-29,39.28
2008-01-30,39.35
2008-01-31,39.31
2008-02-01,39.12
2008-02-04,39.13
2008-02-05,39.40
2008-02-06,39.4900
2008-02-07,39.4300
2008-02-08,39.6100
2008-02-11,39.6000
2008-02-12,39.5600
2008-02-13,39.7500
2008-02-14,39.5700
2008-02-15,39.6500
2008-02-18,.
2008-02-19,39.9100
2008-02-20,40.1100
2008-02-21,39.8300
2008-02-22,40.0400
2008-02-25,39.9000
2008-02-26,39.8900
2008-02-27,39.6800
2008-02-28,39.8400
2008-02-29,39.9600
2008-03-03,40.3300
2008-03-04,40.2700
2008-03-05,40.1900
2008-03-06,40.1300
2008-03-07,40.4200
2008-03-10,40.3900
2008-03-11,40.2300
2008-03-12,40.0200
2008-03-13,40.1800
2008-03-14,40.4000
2008-03-17,40.4600
2008-03-18,40.2000
2008-03-19,40.0000
2008-03-20,40.3200
2008-03-21,39.8600
2008-03-24,40.0300
2008-03-25,39.9300
2008-03-26,39.9600
2008-03-27,39.9500
2008-03-28,39.7600
2008-03-31,40.0200
2008-04-01,39.8800
2008-04-02,39.8800
2008-04-03,39.9400
2008-04-04,39.9300
2008-04-07,39.9600
2008-04-08,39.9000
2008-04-09,39.9100
2008-04-10,39.8900
2008-04-11,39.8400
2008-04-14,39.8600
2008-04-15,39.8300
2008-04-16,39.8900
2008-04-17,39.7900
2008-04-18,39.7300
2008-04-21,39.9200
2008-04-22,39.9300
2008-04-23,40.0000
2008-04-24,40.1400
2008-04-25,40.1300
2008-04-28,40.1000
2008-04-29,40.3700
2008-04-30,40.4500
2008-05-01,40.5800
2008-05-02,40.5500
2008-05-05,40.4500
2008-05-06,40.8000
2008-05-07,41.3000
2008-05-08,41.6600
2008-05-09,41.5500
2008-05-12,42.0000
2008-05-13,42.0800
2008-05-14,42.3400
2008-05-15,42.6000
2008-05-16,42.5000
2008-05-19,42.4600
2008-05-20,42.5000
2008-05-21,42.7700
2008-05-22,42.9300
2008-05-23,42.6800
2008-05-26,.
2008-05-27,42.8600
2008-05-28,42.7500
2008-05-29,42.5300
2008-05-30,42.1500
2008-06-02,42.3800
2008-06-03,42.5000
2008-06-04,42.6000
2008-06-05,42.8200
2008-06-06,42.6300
2008-06-09,42.8500
2008-06-10,42.9200
2008-06-11,42.6500
2008-06-12,42.7000
2008-06-13,42.8600
2008-06-16,42.9300
2008-06-17,42.8600
2008-06-18,42.8000
2008-06-19,42.9100
2008-06-20,42.8600
2008-06-23,42.9700
2008-06-24,42.7500
2008-06-25,42.7300
2008-06-26,42.6000
2008-06-27,42.7800
2008-06-30,42.9300
2008-07-01,43.2300
2008-07-02,43.1500
2008-07-03,43.1700
2008-07-04,.
2008-07-07,43.2900
2008-07-08,43.2300
2008-07-09,43.0200
2008-07-10,42.9400
2008-07-11,42.8000
2008-07-14,42.8000
2008-07-15,43.1200
2008-07-16,43.0500
2008-07-17,42.7000
2008-07-18,42.6600
2008-07-21,42.5700
2008-07-22,42.6500
2008-07-23,42.0500
2008-07-24,42.1000
2008-07-25,41.1000
2008-07-28,42.5200
2008-07-29,42.5600
2008-07-30,42.2800
2008-07-31,42.4700
2008-08-01,42.2600
2008-08-04,42.4500
2008-08-05,42.1500
2008-08-06,42.0100
2008-08-07,42.0500
2008-08-08,42.0500
2008-08-11,42.0600
2008-08-12,42.3400
2008-08-13,42.5500
2008-08-14,43.0000
2008-08-15,42.8000
2008-08-18,43.4900
2008-08-19,43.5100
2008-08-20,43.6100
2008-08-21,43.4300
2008-08-22,43.3200
2008-08-25,43.6800
2008-08-26,43.7400
2008-08-27,43.6200
2008-08-28,43.6500
2008-08-29,43.2500
2008-09-01,.
2008-09-02,44.4000
2008-09-03,43.9500
2008-09-04,44.2600
2008-09-05,44.6300
2008-09-08,44.5000
2008-09-09,44.8300
2008-09-10,45.1400
2008-09-11,45.4600
2008-09-12,45.6200
2008-09-15,45.9300
2008-09-16,46.8100
2008-09-17,46.1600
2008-09-18,46.3600
2008-09-19,45.7100
2008-09-22,45.3000
2008-09-23,45.6500
2008-09-24,45.9200
2008-09-25,46.0800
2008-09-26,46.4800
2008-09-29,46.4900
2008-09-30,46.4500
2008-10-01,46.4700
2008-10-02,46.6300
2008-10-03,47.0100
2008-10-06,47.7700
2008-10-07,47.7800
2008-10-08,48.0000
2008-10-09,48.0000
2008-10-10,48.4100
2008-10-13,.
2008-10-14,47.9300
2008-10-15,48.5300
2008-10-16,48.8800
2008-10-17,48.8800
2008-10-20,48.9600
2008-10-21,49.1000
2008-10-22,49.2500
2008-10-23,49.8200
2008-10-24,49.9600
2008-10-27,49.8000
2008-10-28,49.5700
2008-10-29,49.7100
2008-10-30,49.6800
2008-10-31,49.4000
2008-11-03,48.6100
2008-11-04,47.2500
2008-11-05,47.2800
2008-11-06,47.6400
2008-11-07,47.5400
2008-11-10,47.3000
2008-11-11,.
2008-11-12,49.2000
2008-11-13,49.0000
2008-11-14,48.7800
2008-11-17,49.1900
2008-11-18,49.5100
2008-11-19,49.8400
2008-11-20,50.1200
2008-11-21,49.5300
2008-11-24,49.9400
2008-11-25,49.8700
2008-11-26,49.1800
2008-11-27,.
2008-11-28,49.5500
2008-12-01,49.9400
2008-12-02,50.0500
2008-12-03,49.9200
2008-12-04,49.8200
2008-12-05,49.6000
2008-12-08,49.4400
2008-12-09,49.2800
2008-12-10,48.7000
2008-12-11,48.1900
2008-12-12,48.2000
2008-12-15,47.6200
2008-12-16,47.8100
2008-12-17,47.5000
2008-12-18,46.7400
2008-12-19,47.0500
2008-12-22,47.7100
2008-12-23,48.6600
2008-12-24,47.7600
2008-12-25,.
2008-12-26,48.4200
2008-12-29,48.2500
2008-12-30,48.0500
2008-12-31,48.5800
2009-01-01,.
2009-01-02,48.2500
2009-01-05,48.5000
2009-01-06,48.5000
2009-01-07,48.5600
2009-01-08,48.4500
2009-01-09,48.2600
2009-01-12,48.7800
2009-01-13,48.8900
2009-01-14,48.7500
2009-01-15,48.8700
2009-01-16,48.6200
2009-01-19,.
2009-01-20,49.0100
2009-01-21,49.0000
2009-01-22,49.0700
2009-01-23,49.0000
2009-01-26,48.5000
2009-01-27,48.8500
2009-01-28,48.8100
2009-01-29,48.4900
2009-01-30,48.8300
2009-02-02,48.8400
2009-02-03,48.3700
2009-02-04,48.6800
2009-02-05,48.7200
2009-02-06,48.6100
2009-02-09,48.5200
2009-02-10,48.6800
2009-02-11,48.7800
2009-02-12,48.7000
2009-02-13,48.5800
2009-02-16,.
2009-02-17,49.6000
2009-02-18,49.8400
2009-02-19,49.7300
2009-02-20,49.7100
2009-02-23,49.4600
2009-02-24,49.7500
2009-02-25,49.9500
2009-02-26,50.3200
2009-02-27,50.8800
2009-03-02,51.8000
2009-03-03,51.9600
