DATE,DEXBZUS
2007-02-05,2.0925
2007-02-06,2.0852
2007-02-07,2.0850
2007-02-08,2.0970
2007-02-09,2.0993
2007-02-12,2.1135
2007-02-13,2.1080
2007-02-14,2.0980
2007-02-15,2.0870
2007-02-16,2.0898
2007-02-19,.
2007-02-20,2.0810
2007-02-21,2.0791
2007-02-22,2.0740
2007-02-23,2.0870
2007-02-26,2.0828
2007-02-27,2.1045
2007-02-28,2.1200
2007-03-01,2.1230
2007-03-02,2.1210
2007-03-05,2.1385
2007-03-06,2.1235
2007-03-07,2.1140
2007-03-08,2.1034
2007-03-09,2.0955
2007-03-12,2.0915
2007-03-13,2.0885
2007-03-14,2.1060
2007-03-15,2.0900
2007-03-16,2.0900
2007-03-19,2.0790
2007-03-20,2.0753
2007-03-21,2.0720
2007-03-22,2.0555
2007-03-23,2.0670
2007-03-26,2.0610
2007-03-27,2.0612
2007-03-28,2.0740
2007-03-29,2.0540
2007-03-30,2.0580
2007-04-02,2.0465
2007-04-03,2.0370
2007-04-04,2.0308
2007-04-05,2.0304
2007-04-06,2.0306
2007-04-09,2.0215
2007-04-10,2.0310
2007-04-11,2.0305
2007-04-12,2.0367
2007-04-13,2.0192
2007-04-16,2.0316
2007-04-17,2.0317
2007-04-18,2.0380
2007-04-19,2.0310
2007-04-20,2.0240
2007-04-23,2.0231
2007-04-24,2.0359
2007-04-25,2.0221
2007-04-26,2.0210
2007-04-27,2.0305
2007-04-30,2.0308
2007-05-01,2.0330
2007-05-02,2.0243
2007-05-03,2.0220
2007-05-04,2.0283
2007-05-07,2.0235
2007-05-08,2.0245
2007-05-09,2.0220
2007-05-10,2.0167
2007-05-11,2.0173
2007-05-14,2.0103
2007-05-15,1.9888
2007-05-16,1.9636
2007-05-17,1.9541
2007-05-18,1.9631
2007-05-21,1.9426
2007-05-22,1.9376
2007-05-23,1.9415
2007-05-24,1.9650
2007-05-25,1.9456
2007-05-28,.
2007-05-29,1.9420
2007-05-30,1.9498
2007-05-31,1.9225
2007-06-01,1.9010
2007-06-04,1.9182
2007-06-05,1.9401
2007-06-06,1.9680
2007-06-07,1.9673
2007-06-08,1.9666
2007-06-11,1.9430
2007-06-12,1.9390
2007-06-13,1.9467
2007-06-14,1.9310
2007-06-15,1.9098
2007-06-18,1.9029
2007-06-19,1.9017
2007-06-20,1.9175
2007-06-21,1.9190
2007-06-22,1.9230
2007-06-25,1.9362
2007-06-26,1.9430
2007-06-27,1.9500
2007-06-28,1.9239
2007-06-29,1.9301
2007-07-02,1.9160
2007-07-03,1.9142
2007-07-04,.
2007-07-05,1.9134
2007-07-06,1.9015
2007-07-09,1.8980
2007-07-10,1.8910
2007-07-11,1.8890
2007-07-12,1.8758
2007-07-13,1.8713
2007-07-16,1.8694
2007-07-17,1.8639
2007-07-18,1.8573
2007-07-19,1.8538
2007-07-20,1.8619
2007-07-23,1.8413
2007-07-24,1.8490
2007-07-25,1.8705
2007-07-26,1.8953
2007-07-27,1.9170
2007-07-30,1.8865
2007-07-31,1.8690
2007-08-01,1.8810
2007-08-02,1.8692
2007-08-03,1.8781
2007-08-06,1.8985
2007-08-07,1.9070
2007-08-08,1.8851
2007-08-09,1.9144
2007-08-10,1.9423
2007-08-13,1.9380
2007-08-14,1.9752
2007-08-15,1.9963
2007-08-16,2.1050
2007-08-17,2.0320
2007-08-20,2.0370
2007-08-21,2.0286
2007-08-22,2.0131
2007-08-23,1.9992
2007-08-24,1.9745
2007-08-27,1.9550
2007-08-28,1.9876
2007-08-29,1.9741
2007-08-30,1.9665
2007-08-31,1.9672
2007-09-03,1.9672
2007-09-04,1.9465
2007-09-05,1.9678
2007-09-06,1.9490
2007-09-07,1.9595
2007-09-10,1.9600
2007-09-11,1.9305
2007-09-12,1.9095
2007-09-13,1.8979
2007-09-14,1.8945
2007-09-17,1.9129
2007-09-18,1.9005
2007-09-19,1.8700
2007-09-20,1.8560
2007-09-21,1.8620
2007-09-24,1.8700
2007-09-25,1.8650
2007-09-26,1.8530
2007-09-27,1.8380
2007-09-28,1.8360
2007-10-01,1.8179
2007-10-02,1.8220
2007-10-03,1.8270
2007-10-04,1.8288
2007-10-05,1.8057
2007-10-08,1.8057
2007-10-09,1.8010
2007-10-10,1.8015
2007-10-11,1.7897
2007-10-12,1.7998
2007-10-15,1.8068
2007-10-16,1.8229
2007-10-17,1.8060
2007-10-18,1.8048
2007-10-19,1.7963
2007-10-22,1.8187
2007-10-23,1.7970
2007-10-24,1.8033
2007-10-25,1.7931
2007-10-26,1.7779
2007-10-29,1.7555
2007-10-30,1.7502
2007-10-31,1.7386
2007-11-01,1.7473
2007-11-02,1.7550
2007-11-05,1.7540
2007-11-06,1.7298
2007-11-07,1.7304
2007-11-08,1.7352
2007-11-09,1.7505
2007-11-12,.
2007-11-13,1.7682
2007-11-14,1.7335
2007-11-15,1.7448
2007-11-16,1.7422
2007-11-19,1.7610
2007-11-20,1.7570
2007-11-21,1.7859
2007-11-22,1.7859
2007-11-23,1.8020
2007-11-26,1.8302
2007-11-27,1.8380
2007-11-28,1.7976
2007-11-29,1.7760
2007-11-30,1.7800
2007-12-03,1.7840
2007-12-04,1.8204
2007-12-05,1.7928
2007-12-06,1.7868
2007-12-07,1.7620
2007-12-10,1.7625
2007-12-11,1.7580
2007-12-12,1.7583
2007-12-13,1.7760
2007-12-14,1.7959
2007-12-17,1.8158
2007-12-18,1.8092
2007-12-19,1.8025
2007-12-20,1.8021
2007-12-21,1.7906
2007-12-24,1.7915
2007-12-25,.
2007-12-26,1.7735
2007-12-27,1.7655
2007-12-28,1.7771
2007-12-31,1.7790
2008-01-01,.
2008-01-02,1.7681
2008-01-03,1.7496
2008-01-04,1.7607
2008-01-07,1.7679
2008-01-08,1.7565
2008-01-09,1.7725
2008-01-10,1.7640
2008-01-11,1.7490
2008-01-14,1.7346
2008-01-15,1.7481
2008-01-16,1.7685
2008-01-17,1.7769
2008-01-18,1.7930
2008-01-21,.
2008-01-22,1.8013
2008-01-23,1.8175
2008-01-24,1.7848
2008-01-25,1.7860
2008-01-28,1.7828
2008-01-29,1.7728
2008-01-30,1.7778
2008-01-31,1.7578
2008-02-01,1.7438
2008-02-04,1.7455
2008-02-05,1.7605
2008-02-06,1.7508
2008-02-07,1.7610
2008-02-08,1.7655
2008-02-11,1.7605
2008-02-12,1.7450
2008-02-13,1.7458
