#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
225,7506.634000,-10.57806
226,7506.635000,-10.59062
227,7506.636000,-10.62974
228,7506.637000,-10.59489
229,7506.638000,-10.62637
230,7506.639000,-10.63298
231,7506.640000,-10.61643
232,7506.641000,-10.55965
233,7506.642000,-10.68559
234,7506.643000,-10.5885
235,7506.644000,-10.63045
236,7506.645000,-10.67911
237,7506.646000,-10.58277
238,7506.647000,-10.64707
239,7506.648000,-10.62491
240,7506.649000,-10.61649
241,7506.650000,-10.60289
242,7506.651000,-10.584
243,7506.652000,-10.57806
244,7506.653000,-10.58619
245,7506.654000,-10.50937
246,7506.655000,-10.5369
247,7506.656000,-10.50921
248,7506.657000,-10.49012
249,7506.658000,-10.47922
250,7506.659000,-10.4485
251,7506.660000,-10.4303
252,7506.661000,-10.41479
253,7506.662000,-10.37641
254,7506.663000,-10.40717
255,7506.664000,-10.34577
256,7506.665000,-10.28046
257,7506.666000,-10.36979
258,7506.667000,-10.0838
259,7506.668000,-10.29928
260,7506.669000,-11.0582
261,7506.670000,-9.499842
262,7506.671000,-10.05361
263,7506.672000,-10.70821
264,7506.673000,-10.00376
265,7506.674000,-10.21893
266,7506.675000,-10.30383
267,7506.676000,-10.00447
268,7506.677000,-9.939017
269,7506.678000,-10.27191
270,7506.679000,-10.1682
271,7506.680000,-10.03433
272,7506.681000,-9.983617
273,7506.682000,-10.05442
274,7506.683000,-10.07355
275,7506.684000,-9.853561
276,7506.685000,-9.942634
277,7506.686000,-9.899688
278,7506.687000,-9.931379
279,7506.688000,-9.897649
280,7506.689000,-9.803329
281,7506.690000,-9.790775
282,7506.691000,-9.847589
283,7506.692000,-9.688176
284,7506.693000,-9.765775
285,7506.694000,-9.695528
286,7506.695000,-9.615566
287,7506.696000,-9.716179
288,7506.697000,-9.634875
289,7506.698000,-9.592767
290,7506.699000,-9.617527
291,7506.700000,-9.576928
292,7506.701000,-9.518538
293,7506.702000,-9.590941
294,7506.703000,-9.565973
295,7506.704000,-9.4738
296,7506.705000,-9.551443
297,7506.706000,-9.490098
298,7506.707000,-9.391133
299,7506.708000,-9.575505
300,7506.709000,-9.449329
301,7506.710000,-9.443045
302,7506.711000,-9.465034
303,7506.712000,-9.460618
304,7506.713000,-9.465431
305,7506.714000,-9.467589
306,7506.715000,-9.466632
307,7506.716000,-9.464906
308,7506.717000,-9.460689
309,7506.718000,-9.477091
310,7506.719000,-9.503181
311,7506.720000,-9.549932
312,7506.721000,-9.624372
313,7506.722000,-9.53583
314,7506.723000,-9.341729
315,7506.724000,-9.419054
316,7506.725000,-9.521486
317,7506.726000,-9.552284
318,7506.727000,-9.469482
