#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
212,7968.874000,-0.1886282
213,7968.875000,-0.1868763
214,7968.876000,-0.1856632
215,7968.877000,-0.1848326
216,7968.878000,-0.1841078
217,7968.879000,-0.1836863
218,7968.880000,-0.1834469
219,7968.881000,-0.1834259
220,7968.882000,-0.1839037
221,7968.883000,-0.1849022
222,7968.884000,-0.186244
223,7968.885000,-0.1880016
224,7968.886000,-0.189312
225,7968.887000,-0.1900749
226,7968.888000,-0.190814
227,7968.889000,-0.1913109
228,7968.890000,-0.1914721
229,7968.891000,-0.1912556
230,7968.892000,-0.1930046
231,7968.893000,-0.1967306
232,7968.894000,-0.190032
233,7968.895000,-0.1968861
234,7968.896000,-0.1973038
235,7968.897000,-0.1994314
236,7968.898000,-0.2014294
237,7968.899000,-0.2032661
238,7968.900000,-0.205554
239,7968.901000,-0.2082434
240,7968.902000,-0.2086077
241,7968.903000,-0.2064962
242,7968.904000,-0.2109375
243,7968.905000,-0.2219248
244,7968.906000,-0.1963921
245,7968.907000,-0.2135534
246,7968.908000,-0.2081432
247,7968.909000,-0.2064705
248,7968.910000,-0.2048187
249,7968.911000,-0.2031622
250,7968.912000,-0.2004051
251,7968.913000,-0.1974096
252,7968.914000,-0.1971998
253,7968.915000,-0.2003336
254,7968.916000,-0.187294
255,7968.917000,-0.1572723
256,7968.918000,-0.2111635
257,7968.919000,-0.1675215
258,7968.920000,-0.1742744
259,7968.921000,-0.1714754
260,7968.922000,-0.1685972
261,7968.923000,-0.1655788
262,7968.924000,-0.1628056
263,7968.925000,-0.1601763
264,7968.926000,-0.1569586
265,7968.927000,-0.1531553
266,7968.928000,-0.1490698
267,7968.929000,-0.1445103
268,7968.930000,-0.1399927
269,7968.931000,-0.1355572
270,7968.932000,-0.1308031
271,7968.933000,-0.1258488
272,7968.934000,-0.1212807
273,7968.935000,-0.1171045
274,7968.936000,-0.1131248
275,7968.937000,-0.1094999
276,7968.938000,-0.1058006
277,7968.939000,-0.1020155
278,7968.940000,-0.09849548
279,7968.941000,-0.09515858
280,7968.942000,-0.09172916
281,7968.943000,-0.08823586
282,7968.944000,-0.08475971
283,7968.945000,-0.08124161
284,7968.946000,-0.07794762
285,7968.947000,-0.07491779
286,7968.948000,-0.07200336
287,7968.949000,-0.06928158
288,7968.950000,-0.06622791
289,7968.951000,-0.06278229
290,7968.952000,-0.0592556
291,7968.953000,-0.05551624
292,7968.954000,-0.0518713
293,7968.955000,-0.0482502
294,7968.956000,-0.04433155
295,7968.957000,-0.04011917
296,7968.958000,-0.03602314
297,7968.959000,-0.03203773
298,7968.960000,-0.02797699
299,7968.961000,-0.02389812
300,7968.962000,-0.01940536
301,7968.963000,-0.01459789
302,7968.964000,-0.009765625
303,7968.965000,-0.004888535
304,7968.966000,2.574921E-5
305,7968.967000,0.004975319
306,7968.968000,0.01000881
307,7968.969000,0.0150938
308,7968.970000,0.02010632
309,7968.971000,0.02509022
310,7968.972000,0.03013706
311,7968.973000,0.03524494
312,7968.974000,0.0405035
313,7968.975000,0.04590034
314,7968.976000,0.05137062
315,7968.977000,0.05694675
316,7968.978000,0.06261349
317,7968.979000,0.0683651
318,7968.980000,0.07422829
319,7968.981000,0.08019638
320,7968.982000,0.08612347
321,7968.983000,0.09201145
322,7968.984000,0.09922314
323,7968.985000,0.1078587
324,7968.986000,0.1060972
325,7968.987000,0.09315777
326,7968.988000,0.1254721
327,7968.989000,0.2050943
328,7968.990000,0.04732227
329,7968.991000,0.1689014
330,7968.992000,0.1472826
331,7968.993000,0.1538458
332,7968.994000,0.16189
333,7968.995000,0.1716013
334,7968.996000,0.1695461
335,7968.997000,0.1548214
336,7968.998000,0.1882763
337,7968.999000,0.2719154
338,7969.000000,0.1017542
339,7969.001000,0.2621431
340,7969.002000,0.1953535
341,7969.003000,0.09201622
342,7969.004000,0.3290548
343,7969.005000,0.1640034
344,7969.006000,0.204814
345,7969.007000,0.2051907
346,7969.008000,0.2051697
347,7969.009000,0.2049246
348,7969.010000,0.2038097
349,7969.011000,0.2017956
350,7969.012000,0.199357
351,7969.013000,0.196352
352,7969.014000,0.1918192
353,7969.015000,0.1857023
354,7969.016000,0.1783371
355,7969.017000,0.1694603
356,7969.018000,0.15973
357,7969.019000,0.1490974
358,7969.020000,0.1369085
359,7969.021000,0.1232462
360,7969.022000,0.1085758
361,7969.023000,0.09284782
362,7969.024000,0.07585621
363,7969.025000,0.05766487
364,7969.026000,0.0377388
365,7969.027000,0.0160656
366,7969.028000,-0.0066185
367,7969.029000,-0.03039169
368,7969.030000,-0.04465866
369,7969.031000,-0.04821205
370,7969.032000,-0.02981091
371,7969.033000,0.01538944
372,7969.034000,-0.0113306
373,7969.035000,0.04423523
374,7969.036000,0.09020615
375,7969.037000,0.1277323
376,7969.038000,0.1786938
377,7969.039000,0.2273264
378,7969.040000,0.279953
379,7969.041000,0.3344116
380,7969.042000,0.4000025
381,7969.043000,0.4775209
382,7969.044000,0.5550089
383,7969.045000,0.6342039
384,7969.046000,0.7121153
385,7969.047000,0.7258301
386,7969.048000,0.7414694
387,7969.049000,0.7292061
388,7969.050000,0.7128677
389,7969.051000,0.6935329
390,7969.052000,0.6457214
391,7969.053000,0.5727396
392,7969.054000,0.5567389
393,7969.055000,0.5401955
394,7969.056000,0.5352201
395,7969.057000,0.5334549
396,7969.058000,0.5381041
397,7969.059000,0.5455227
398,7969.060000,0.2266607
399,7969.061000,0.2435427
400,7969.062000,0.126523
401,7969.063000,0.1122656
402,7969.064000,0.1063566
403,7969.065000,0.132678
404,7969.066000,0.1480799
405,7969.067000,0.1460991
406,7969.068000,0.1663027
407,7969.069000,0.1980629
408,7969.070000,0.2346821
409,7969.071000,0.2802382
410,7969.072000,0.2618704
411,7969.073000,0.1720247
412,7969.074000,0.4154568
413,7969.075000,0.2929478
414,7969.076000,0.3746834
415,7969.077000,0.4338493
416,7969.078000,0.4293108
417,7969.079000,0.4754944
418,7969.080000,0.4695864
419,7969.081000,0.4442873
420,7969.082000,0.4883223
421,7969.083000,0.6058884
422,7969.084000,0.3412132
423,7969.085000,0.4325228
424,7969.086000,0.501771
425,7969.087000,0.4163094
426,7969.088000,0.4370508
427,7969.089000,0.4430294
428,7969.090000,0.4414825
429,7969.091000,0.4313126
430,7969.092000,0.4342518
431,7969.093000,0.4483786
432,7969.094000,0.4050817
433,7969.095000,0.3022594
434,7969.096000,0.4902887
435,7969.097000,0.6011372
436,7969.098000,0.1975918
437,7969.099000,0.5047626
438,7969.100000,0.4406042
439,7969.101000,0.4527941
440,7969.102000,0.4616594
441,7969.103000,0.4669113
442,7969.104000,0.4717598
443,7969.105000,0.474597
444,7969.106000,0.4794445
445,7969.107000,0.4866085
446,7969.108000,0.4926729
447,7969.109000,0.4985228
448,7969.110000,0.5035334
449,7969.111000,0.5073109
450,7969.112000,0.5204105
451,7969.113000,0.5435219
452,7969.114000,0.519906
453,7969.115000,0.4471188
454,7969.116000,0.5952187
455,7969.117000,0.6318283
456,7969.118000,0.3950739
457,7969.119000,0.6688347
458,7969.120000,0.4826269
459,7969.121000,0.6868353
460,7969.122000,0.5621653
461,7969.123000,0.2831841
462,7969.124000,0.9297438
463,7969.125000,0.5163794
464,7969.126000,0.5798635
465,7969.127000,0.5723648
466,7969.128000,0.6270647
467,7969.129000,0.7853031
468,7969.130000,0.4576693
469,7969.131000,0.6215544
470,7969.132000,0.7011356
471,7969.133000,0.6119852
472,7969.134000,0.6363583
473,7969.135000,0.638485
474,7969.136000,0.6403561
475,7969.137000,0.6421499
476,7969.138000,0.6431494
477,7969.139000,0.6433144
478,7969.140000,0.6431351
479,7969.141000,0.6424503
480,7969.142000,0.6421785
481,7969.143000,0.6424599
482,7969.144000,0.6427431
483,7969.145000,0.6433067
484,7969.146000,0.6437397
485,7969.147000,0.6439857
486,7969.148000,0.6444645
487,7969.149000,0.645092
488,7969.150000,0.6450109
489,7969.151000,0.6442471
490,7969.152000,0.6431847
491,7969.153000,0.6416197
492,7969.154000,0.6401825
493,7969.155000,0.6388578
494,7969.156000,0.6371059
495,7969.157000,0.6350441
496,7969.158000,0.6346426
497,7969.159000,0.6360531
498,7969.160000,0.6289711
499,7969.161000,0.6129618
500,7969.162000,0.6342688
501,7969.163000,0.6945448
502,7969.164000,0.5596085
503,7969.165000,0.6621523
504,7969.166000,0.6310377
505,7969.167000,0.609149
506,7969.168000,0.6568403
507,7969.169000,0.6150589
508,7969.170000,0.6317663
509,7969.171000,0.6550703
510,7969.172000,0.6038866
511,7969.173000,0.6407003
512,7969.174000,0.6321049
513,7969.175000,0.6318607
514,7969.176000,0.6315908
515,7969.177000,0.6311398
516,7969.178000,0.6309109
517,7969.179000,0.6309681
518,7969.180000,0.6309843
519,7969.181000,0.631074
520,7969.182000,0.6315289
521,7969.183000,0.6321793
522,7969.184000,0.6298361
523,7969.185000,0.6241703
524,7969.186000,0.6297798
525,7969.187000,0.6470194
526,7969.188000,0.6012354
527,7969.189000,0.6273041
528,7969.190000,0.6178989
529,7969.191000,0.6183004
530,7969.192000,0.6230316
531,7969.193000,0.6334925
532,7969.194000,0.6188917
533,7969.195000,0.5774269
534,7969.196000,0.6493845
535,7969.197000,0.839407
536,7969.198000,0.4323702
537,7969.199000,0.6900854
538,7969.200000,0.5869083
539,7969.201000,0.5362883
540,7969.202000,0.5219574
541,7969.203000,0.5484724
542,7969.204000,0.5513544
543,7969.205000,0.5409126
544,7969.206000,0.6634235
545,7969.207000,0.6055574
546,7969.208000,0.5441017
547,7969.209000,0.5609884
548,7969.210000,0.535677
549,7969.211000,0.5374231
550,7969.212000,0.536643
551,7969.213000,0.5398016
552,7969.214000,0.524395
553,7969.215000,0.4868517
554,7969.216000,0.518095
555,7969.217000,0.6193647
556,7969.218000,0.3733501
557,7969.219000,0.5548906
558,7969.220000,0.4824429
559,7969.221000,0.4107008
560,7969.222000,0.5531864
561,7969.223000,0.5023575
562,7969.224000,0.4584017
563,7969.225000,0.2810221
564,7969.226000,0.66751
565,7969.227000,0.3913403
566,7969.228000,0.4567852
567,7969.229000,0.4569731
568,7969.230000,0.4546089
569,7969.231000,0.4495964
570,7969.232000,0.457222
571,7969.233000,0.450778
572,7969.234000,0.4505911
573,7969.235000,0.4477596
574,7969.236000,0.454381
575,7969.237000,0.4711256
576,7969.238000,0.4399204
577,7969.239000,0.4643507
578,7969.240000,0.4606838
579,7969.241000,0.4622087
580,7969.242000,0.4725113
581,7969.243000,0.492198
582,7969.244000,0.4958153
583,7969.245000,0.4836321
584,7969.246000,0.5334511
585,7969.247000,0.6463156
586,7969.248000,0.3138676
587,7969.249000,0.3622417
588,7969.250000,0.6937828
589,7969.251000,0.3890009
590,7969.252000,0.4360676
591,7969.253000,0.4228687
592,7969.254000,0.419158
593,7969.255000,0.4322033
594,7969.256000,0.5510035
595,7969.257000,0.7894802
596,7969.258000,0.5263729
597,7969.259000,0.6473093
598,7969.260000,0.6461773
599,7969.261000,0.4598455
600,7969.262000,0.4708357
601,7969.263000,0.5811253
602,7969.264000,0.4298706
603,7969.265000,0.5775814
604,7969.266000,0.6226902
605,7969.267000,0.5808973
606,7969.268000,0.5839043
607,7969.269000,0.5672779
608,7969.270000,0.5854969
609,7969.271000,0.6451826
610,7969.272000,0.5477238
611,7969.273000,0.6319532
612,7969.274000,0.6138878
613,7969.275000,0.6021671
614,7969.276000,0.6378622
615,7969.277000,0.7230186
616,7969.278000,0.5670576
617,7969.279000,0.6246758
618,7969.280000,0.7115326
619,7969.281000,0.7185869
620,7969.282000,0.6134787
621,7969.283000,0.7123966
622,7969.284000,0.6999035
623,7969.285000,0.7097607
624,7969.286000,0.716073
625,7969.287000,0.7184315
626,7969.288000,0.7337914
627,7969.289000,0.7625513
628,7969.290000,0.7269106
629,7969.291000,0.685647
630,7969.292000,0.8171835
631,7969.293000,0.7275753
632,7969.294000,0.751771
633,7969.295000,0.7524338
634,7969.296000,0.7593288
635,7969.297000,0.7566996
636,7969.298000,0.7618046
637,7969.299000,0.7692823
638,7969.300000,0.7547951
639,7969.301000,0.7648039
640,7969.302000,0.7613077
641,7969.303000,0.7599125
642,7969.304000,0.7577362
643,7969.305000,0.7547951
644,7969.306000,0.750968
645,7969.307000,0.746398
646,7969.308000,0.7413874
647,7969.309000,0.7360086
648,7969.310000,0.729866
649,7969.311000,0.7229109
650,7969.312000,0.7153702
651,7969.313000,0.7072182
652,7969.314000,0.6988792
653,7969.315000,0.6902561
654,7969.316000,0.6809378
655,7969.317000,0.6709499
656,7969.318000,0.6672316
657,7969.319000,0.670393
658,7969.320000,0.6771088
659,7969.321000,0.6892776
660,7969.322000,0.7026548
661,7969.323000,0.7170954
662,7969.324000,0.7365494
663,7969.325000,0.7601986
664,7969.326000,0.7826023
665,7969.327000,0.804184
666,7969.328000,0.8293295
667,7969.329000,0.8569841
668,7969.330000,0.8808212
669,7969.331000,0.9201069
670,7969.332000,0.9564295
671,7969.333000,0.9970875
672,7969.334000,1.01063
673,7969.335000,0.9939013
674,7969.336000,0.9700146
675,7969.337000,0.9309597
676,7969.338000,0.8476448
677,7969.339000,0.8020229
678,7969.340000,0.712059
679,7969.341000,0.6075439
680,7969.342000,0.5024433
681,7969.343000,0.3959427
682,7969.344000,0.2795811
683,7969.345000,0.1573248
684,7969.346000,0.04060268
685,7969.347000,-0.06936646
686,7969.348000,-0.2371025
687,7969.349000,-0.4651804
688,7969.350000,-0.3304596
689,7969.351000,-0.2228231
690,7969.352000,-0.4729662
691,7969.353000,-0.2751789
692,7969.354000,0.5456448
693,7969.355000,1.232367
694,7969.356000,1.800466
695,7969.357000,1.895945
696,7969.358000,2.116503
697,7969.359000,2.256073
698,7969.360000,2.231461
699,7969.361000,2.068046
700,7969.362000,0.8273754
701,7969.363000,0.5286703
702,7969.364000,-0.1398306
703,7969.365000,-0.8701382
704,7969.366000,-1.263659
705,7969.367000,-0.9736099
706,7969.368000,-0.3510637
707,7969.369000,0.761198
708,7969.370000,1.367489
709,7969.371000,1.372311
710,7969.372000,1.414755
711,7969.373000,1.233857
712,7969.374000,1.067714
713,7969.375000,0.4702911
714,7969.376000,0.01981926
715,7969.377000,-0.4237537
716,7969.378000,-0.5624971
717,7969.379000,-0.3038187
718,7969.380000,0.105258
719,7969.381000,0.7693214
720,7969.382000,1.064723
721,7969.383000,0.9218378
722,7969.384000,0.7340765
723,7969.385000,0.3319511
724,7969.386000,0.1581306
725,7969.387000,0.2687988
726,7969.388000,0.3081865
727,7969.389000,0.3881931
728,7969.390000,0.4116917
729,7969.391000,0.3571167
730,7969.392000,0.3521004
731,7969.393000,0.3753777
732,7969.394000,0.3280945
733,7969.395000,0.2228556
734,7969.396000,0.4868355
735,7969.397000,0.312108
736,7969.398000,0.3432579
737,7969.399000,0.3063927
738,7969.400000,0.2579374
739,7969.401000,0.191288
740,7969.402000,0.1614876
741,7969.403000,0.1736155
742,7969.404000,0.1951675
743,7969.405000,0.2408686
744,7969.406000,0.2541056
745,7969.407000,0.228569
746,7969.408000,0.2039509
747,7969.409000,0.1655102
748,7969.410000,0.1419325
749,7969.411000,0.1385479
750,7969.412000,0.1295433
751,7969.413000,0.1226883
752,7969.414000,0.1153593
753,7969.415000,0.1047392
754,7969.416000,0.09830093
755,7969.417000,0.09481812
756,7969.418000,0.0919323
757,7969.419000,0.0906868
758,7969.420000,0.08964539
759,7969.421000,0.08853912
760,7969.422000,0.09777069
761,7969.423000,0.1178856
762,7969.424000,0.1058216
763,7969.425000,0.1387053
764,7969.426000,0.1530104
765,7969.427000,0.1741133
766,7969.428000,0.1989326
767,7969.429000,0.2273378
768,7969.430000,0.2425432
769,7969.431000,0.2430573
770,7969.432000,0.2327499
771,7969.433000,0.2064476
772,7969.434000,0.1737738
773,7969.435000,0.1337862
774,7969.436000,-0.01372719
775,7969.437000,-0.09087181
776,7969.438000,-0.02840424
777,7969.439000,0.2540855
778,7969.440000,0.4250793
779,7969.441000,0.5239325
780,7969.442000,0.6445856
781,7969.443000,0.7297916
782,7969.444000,0.7391205
783,7969.445000,0.6639175
784,7969.446000,0.5818367
785,7969.447000,0.4819374
786,7969.448000,0.301713
787,7969.449000,0.0498991
788,7969.450000,0.04771519
789,7969.451000,0.3151913
790,7969.452000,0.4662552
791,7969.453000,0.5631618
792,7969.454000,0.6488237
793,7969.455000,0.6555691
794,7969.456000,0.5837049
795,7969.457000,0.4098835
796,7969.458000,0.3283882
797,7969.459000,0.3426104
798,7969.460000,0.3222656
799,7969.461000,0.309453
800,7969.462000,0.3047419
801,7969.463000,0.2958422
802,7969.464000,0.3127279
803,7969.465000,0.3535995
804,7969.466000,0.3542089
805,7969.467000,0.3146467
806,7969.468000,0.264782
807,7969.469000,0.1896534
808,7969.470000,0.1439199
809,7969.471000,0.1330652
810,7969.472000,0.1187401
