#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
225,7968.887000,-8.30896
226,7968.888000,-8.33558
227,7968.889000,-8.368419
228,7968.890000,-8.332443
229,7968.891000,-8.38173
230,7968.892000,-8.383184
231,7968.893000,-8.388144
232,7968.894000,-8.417366
233,7968.895000,-8.47198
234,7968.896000,-8.436442
235,7968.897000,-8.451564
236,7968.898000,-8.575966
237,7968.899000,-8.547071
238,7968.900000,-8.575064
239,7968.901000,-8.623112
240,7968.902000,-8.652721
241,7968.903000,-8.653396
242,7968.904000,-8.699174
243,7968.905000,-8.779181
244,7968.906000,-8.645123
245,7968.907000,-8.904032
246,7968.908000,-8.617804
247,7968.909000,-8.571457
248,7968.910000,-8.914859
249,7968.911000,-8.814336
250,7968.912000,-8.785202
251,7968.913000,-8.762063
252,7968.914000,-8.76104
253,7968.915000,-8.862758
254,7968.916000,-8.747082
255,7968.917000,-8.707904
256,7968.918000,-8.886738
257,7968.919000,-8.671553
258,7968.920000,-8.807445
259,7968.921000,-8.855725
260,7968.922000,-8.626543
261,7968.923000,-8.777734
262,7968.924000,-8.725561
263,7968.925000,-8.711647
264,7968.926000,-8.69404
265,7968.927000,-8.672616
266,7968.928000,-8.645387
267,7968.929000,-8.611417
268,7968.930000,-8.588037
269,7968.931000,-8.575933
270,7968.932000,-8.494949
271,7968.933000,-8.467603
272,7968.934000,-8.455577
273,7968.935000,-8.400501
274,7968.936000,-8.359656
275,7968.937000,-8.300527
276,7968.938000,-8.302114
277,7968.939000,-8.273886
278,7968.940000,-8.159304
279,7968.941000,-8.164207
280,7968.942000,-8.111982
281,7968.943000,-8.081814
282,7968.944000,-7.985697
283,7968.945000,-7.959726
284,7968.946000,-7.900153
285,7968.947000,-7.852857
286,7968.948000,-7.780897
287,7968.949000,-7.683782
288,7968.950000,-7.716721
289,7968.951000,-7.62727
290,7968.952000,-7.61508
291,7968.953000,-7.600265
292,7968.954000,-7.593499
293,7968.955000,-7.58351
294,7968.956000,-7.588534
295,7968.957000,-7.603332
296,7968.958000,-7.614038
297,7968.959000,-7.620832
298,7968.960000,-7.652107
299,7968.961000,-7.693646
300,7968.962000,-7.672754
301,7968.963000,-7.751185
302,7968.964000,-7.77501
303,7968.965000,-7.799575
304,7968.966000,-7.896586
305,7968.967000,-7.92475
306,7968.968000,-7.953565
307,7968.969000,-7.93227
308,7968.970000,-7.978845
309,7968.971000,-8.089501
310,7968.972000,-7.949002
311,7968.973000,-8.033805
312,7968.974000,-8.101789
313,7968.975000,-8.130973
314,7968.976000,-8.140528
315,7968.977000,-8.214556
316,7968.978000,-8.291801
317,7968.979000,-8.334893
318,7968.980000,-8.306485
319,7968.981000,-8.456357
320,7968.982000,-8.35523
321,7968.983000,-8.483709
322,7968.984000,-8.497667
323,7968.985000,-8.526753
324,7968.986000,-8.568525
325,7968.987000,-8.622193
326,7968.988000,-8.49928
327,7968.989000,-8.185221
328,7968.990000,-8.811868
329,7968.991000,-8.634302
330,7968.992000,-8.614661
331,7968.993000,-8.569932
332,7968.994000,-8.465511
333,7968.995000,-8.517848
334,7968.996000,-8.557158
335,7968.997000,-8.67128
336,7968.998000,-8.432231
337,7968.999000,-8.250413
338,7969.000000,-8.664664
339,7969.001000,-8.361788
340,7969.002000,-8.458573
341,7969.003000,-8.748608
342,7969.004000,-8.340806
343,7969.005000,-8.689994
344,7969.006000,-8.680832
345,7969.007000,-8.372613
346,7969.008000,-8.370953
347,7969.009000,-8.589206
348,7969.010000,-8.607353
349,7969.011000,-8.505501
350,7969.012000,-8.464969
351,7969.013000,-8.428188
352,7969.014000,-8.492412
353,7969.015000,-8.594169
354,7969.016000,-8.313838
355,7969.017000,-8.479576
356,7969.018000,-8.504486
357,7969.019000,-8.476293
358,7969.020000,-8.469026
359,7969.021000,-8.413677
360,7969.022000,-8.553692
361,7969.023000,-8.460313
362,7969.024000,-8.492902
363,7969.025000,-8.509089
364,7969.026000,-8.493399
365,7969.027000,-8.444196
366,7969.028000,-8.566868
367,7969.029000,-8.550919
368,7969.030000,-8.480752
369,7969.031000,-8.595545
370,7969.032000,-8.5425
371,7969.033000,-8.431132
372,7969.034000,-8.706257
373,7969.035000,-8.558844
374,7969.036000,-8.567417
375,7969.037000,-8.564891
376,7969.038000,-8.650216
377,7969.039000,-8.621014
378,7969.040000,-8.637538
379,7969.041000,-8.620954
380,7969.042000,-8.722369
381,7969.043000,-8.624331
382,7969.044000,-8.75863
383,7969.045000,-8.69361
384,7969.046000,-8.751174
385,7969.047000,-8.824877
386,7969.048000,-8.746581
387,7969.049000,-8.813869
388,7969.050000,-8.884711
389,7969.051000,-8.85514
390,7969.052000,-8.921597
391,7969.053000,-9.01883
392,7969.054000,-8.916327
393,7969.055000,-9.017307
394,7969.056000,-9.090561
395,7969.057000,-9.174834
396,7969.058000,-9.112655
397,7969.059000,-9.062745
398,7969.060000,-9.421273
399,7969.061000,-9.175343
400,7969.062000,-9.391134
401,7969.063000,-9.319447
