#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
189,7460.225000,-0.9484121
190,7460.226000,-0.9375535
191,7460.227000,-0.9258195
192,7460.228000,-0.8635342
193,7460.229000,-0.9031277
194,7460.230000,-0.887088
195,7460.231000,-0.8709492
196,7460.232000,-0.851887
197,7460.233000,-0.8510373
198,7460.234000,-0.8475965
199,7460.235000,-0.8532467
200,7460.236000,-0.8220087
201,7460.237000,-0.8377075
202,7460.238000,-0.8320894
203,7460.239000,-0.8335699
204,7460.240000,-0.824662
205,7460.241000,-0.8044668
206,7460.242000,-0.841475
207,7460.243000,-0.8451113
208,7460.244000,-0.8053166
209,7460.245000,-0.8296117
210,7460.246000,-0.8472971
211,7460.247000,-0.8325019
212,7460.248000,-0.8358341
213,7460.249000,-0.8328475
214,7460.250000,-0.8368738
215,7460.251000,-0.8103767
216,7460.252000,-0.8441849
217,7460.253000,-0.8476607
218,7460.254000,-0.7973595
219,7460.255000,-0.8329873
220,7460.256000,-0.8277025
221,7460.257000,-0.8373752
222,7460.258000,-0.8226942
223,7460.259000,-0.8348361
224,7460.260000,-0.8351099
225,7460.261000,-0.8402683
226,7460.262000,-0.8349608
227,7460.263000,-0.8186623
228,7460.264000,-0.8379936
229,7460.265000,-0.809846
230,7460.266000,-0.8037341
231,7460.267000,-0.7924807
232,7460.268000,-0.7784466
233,7460.269000,-0.762067
234,7460.270000,-0.7421277
235,7460.271000,-0.718163
236,7460.272000,-0.690734
237,7460.273000,-0.6593072
238,7460.274000,-0.6259805
239,7460.275000,-0.5907937
240,7460.276000,-0.5431741
241,7460.277000,-0.4826272
242,7460.278000,-0.4818114
243,7460.279000,-0.4550292
244,7460.280000,-0.4537441
245,7460.281000,-0.472725
246,7460.282000,-0.4579752
247,7460.283000,-0.4114548
248,7460.284000,-0.3591453
249,7460.285000,-0.2894317
250,7460.286000,-0.2300168
251,7460.287000,-0.1845058
252,7460.288000,-0.1316099
253,7460.289000,-0.07842508
254,7460.290000,-0.07135844
255,7460.291000,-0.132403
256,7460.292000,-0.08573344
257,7460.293000,0.06085386
258,7460.294000,0.1155249
259,7460.295000,0.1024444
260,7460.296000,0.1523159
261,7460.297000,0.238158
262,7460.298000,0.1727501
263,7460.299000,0.1746943
264,7460.300000,0.1691582
265,7460.301000,0.2193196
266,7460.302000,0.2566215
267,7460.303000,0.2713345
268,7460.304000,0.2546452
269,7460.305000,0.1837551
270,7460.306000,0.2250369
271,7460.307000,0.2823745
272,7460.308000,0.3307295
273,7460.309000,0.3583776
274,7460.310000,0.2616155
275,7460.311000,0.1169516
276,7460.312000,0.1240381
277,7460.313000,0.3174206
278,7460.314000,0.2583664
279,7460.315000,0.2787533
280,7460.316000,0.3832543
281,7460.317000,0.3468173
282,7460.318000,0.335157
283,7460.319000,0.2535508
284,7460.320000,0.2409765
285,7460.321000,0.2938828
286,7460.322000,0.323204
287,7460.323000,0.338257
288,7460.324000,0.1917971
289,7460.325000,0.1743392
290,7460.326000,0.2466891
291,7460.327000,0.2559501
292,7460.328000,0.2715423
293,7460.329000,0.2157636
294,7460.330000,0.2279527
295,7460.331000,0.3785917
296,7460.332000,0.4467511
297,7460.333000,0.3810769
298,7460.334000,0.2397396
299,7460.335000,-0.05933554
300,7460.336000,-0.1177316
301,7460.337000,0.05044465
302,7460.338000,0.05204701
303,7460.339000,-0.05336044
304,7460.340000,-0.1769746
305,7460.341000,-0.1677636
306,7460.342000,-0.09624556
307,7460.343000,0.1441351
308,7460.344000,0.3672392
309,7460.345000,0.6526805
310,7460.346000,0.781894
311,7460.347000,0.7902769
312,7460.348000,0.5882263
313,7460.349000,0.1260739
314,7460.350000,-0.07386255
315,7460.351000,-0.009677433
316,7460.352000,0.2798722
317,7460.353000,0.5434461
318,7460.354000,0.4178019
319,7460.355000,0.3639646
320,7460.356000,0.1822245
321,7460.357000,0.0468934
322,7460.358000,0.5650766
323,7460.359000,0.3274426
324,7460.360000,0.3734683
325,7460.361000,0.5913593
326,7460.362000,0.3071275
327,7460.363000,0.5001181
328,7460.364000,0.4100308
329,7460.365000,0.3228197
330,7460.366000,0.3190654
331,7460.367000,0.3790666
332,7460.368000,0.4933801
333,7460.369000,0.5393595
334,7460.370000,0.5678442
335,7460.371000,0.4543399
336,7460.372000,0.4893681
337,7460.373000,0.6859751
338,7460.374000,0.5895558
339,7460.375000,0.6191915
340,7460.376000,0.4869093
341,7460.377000,0.2750699
342,7460.378000,0.2454267
343,7460.379000,0.3243163
344,7460.380000,0.5115056
345,7460.381000,0.9840162
346,7460.382000,0.8532684
347,7460.383000,0.4313223
348,7460.384000,0.5342909
349,7460.385000,0.6556643
350,7460.386000,0.659665
351,7460.387000,0.680931
352,7460.388000,0.6836315
353,7460.389000,0.4528745
354,7460.390000,0.4984922
355,7460.391000,0.7275884
356,7460.392000,0.8163443
357,7460.393000,0.9693165
358,7460.394000,1.010087
359,7460.395000,0.9419829
360,7460.396000,0.7268358
361,7460.397000,0.6313456
362,7460.398000,0.6365049
363,7460.399000,0.7649639
364,7460.400000,0.8161715
365,7460.401000,0.6138377
366,7460.402000,0.7907263
367,7460.403000,0.9760904
368,7460.404000,0.7831365
369,7460.405000,0.7172896
370,7460.406000,0.838106
371,7460.407000,0.8116467
372,7460.408000,0.8340042
373,7460.409000,0.9034695
374,7460.410000,0.841441
375,7460.411000,0.8390729
376,7460.412000,0.8461282
377,7460.413000,0.8979533
378,7460.414000,0.9154254
379,7460.415000,0.9052598
380,7460.416000,0.9154764
381,7460.417000,0.9342666
382,7460.418000,0.8888415
383,7460.419000,0.7787629
384,7460.420000,0.7811801
385,7460.421000,0.8245449
386,7460.422000,0.8505831
387,7460.423000,0.8621858
388,7460.424000,0.9317039
389,7460.425000,1.048575
390,7460.426000,1.187255
391,7460.427000,1.359535
392,7460.428000,1.556763
393,7460.429000,1.777116
394,7460.430000,1.451086
395,7460.431000,1.106139
396,7460.432000,1.05242
397,7460.433000,0.8431897
398,7460.434000,0.6696087
399,7460.435000,0.51165
400,7460.436000,0.4695685
401,7460.437000,0.5753668
402,7460.438000,0.8198473
403,7460.439000,1.247542
404,7460.440000,1.810181
405,7460.441000,2.682767
406,7460.442000,2.841154
407,7460.443000,2.268234
408,7460.444000,1.753348
409,7460.445000,1.500877
410,7460.446000,1.650692
411,7460.447000,2.554558
412,7460.448000,2.442916
413,7460.449000,1.917498
414,7460.450000,1.631866
415,7460.451000,1.958887
416,7460.452000,2.144073
417,7460.453000,1.934482
418,7460.454000,1.327539
419,7460.455000,1.159664
420,7460.456000,1.279785
421,7460.457000,1.706271
422,7460.458000,1.517562
423,7460.459000,1.637667
424,7460.460000,1.690237
425,7460.461000,1.905656
426,7460.462000,2.175424
427,7460.463000,2.59514
428,7460.464000,2.722034
429,7460.465000,2.616023
430,7460.466000,2.403957
431,7460.467000,2.162738
432,7460.468000,1.977674
433,7460.469000,2.31672
434,7460.470000,2.306719
435,7460.471000,1.855654
436,7460.472000,1.340465
437,7460.473000,0.8424334
438,7460.474000,1.02018
439,7460.475000,1.028128
440,7460.476000,1.201589
441,7460.477000,1.720512
442,7460.478000,1.97132
443,7460.479000,2.048727
444,7460.480000,1.975537
445,7460.481000,2.060663
446,7460.482000,1.939977
447,7460.483000,1.762945
448,7460.484000,1.619482
449,7460.485000,1.516071
450,7460.486000,1.459631
451,7460.487000,1.430989
452,7460.488000,1.275675
453,7460.489000,1.388128
454,7460.490000,1.424351
455,7460.491000,1.242859
456,7460.492000,0.9977171
457,7460.493000,0.8538652
458,7460.494000,0.8479855
459,7460.495000,1.114651
460,7460.496000,1.234629
461,7460.497000,1.294802
462,7460.498000,1.485326
463,7460.499000,1.763816
464,7460.500000,2.075626
465,7460.501000,2.448338
466,7460.502000,2.807553
467,7460.503000,2.814447
468,7460.504000,2.54535
469,7460.505000,2.26824
470,7460.506000,2.440962
471,7460.507000,2.64874
472,7460.508000,2.406122
473,7460.509000,2.029292
474,7460.510000,1.607935
475,7460.511000,1.451356
476,7460.512000,1.464087
477,7460.513000,1.82316
478,7460.514000,1.786849
479,7460.515000,1.284051
480,7460.516000,1.350056
481,7460.517000,1.850783
482,7460.518000,2.173818
483,7460.519000,2.545298
484,7460.520000,2.981965
485,7460.521000,2.95828
486,7460.522000,3.219216
487,7460.523000,3.556822
488,7460.524000,3.846649
489,7460.525000,3.997489
490,7460.526000,3.454812
491,7460.527000,2.562424
492,7460.528000,1.48218
493,7460.529000,0.4167717
494,7460.530000,0.02500326
495,7460.531000,0.46641
496,7460.532000,0.6387078
497,7460.533000,0.8753342
498,7460.534000,1.056253
499,7460.535000,1.263977
500,7460.536000,1.753328
501,7460.537000,2.37585
502,7460.538000,2.863324
503,7460.539000,3.1788
504,7460.540000,3.454941
505,7460.541000,3.683791
506,7460.542000,3.918448
507,7460.543000,4.071805
508,7460.544000,3.449585
509,7460.545000,2.695481
510,7460.546000,2.476759
511,7460.547000,2.194843
512,7460.548000,2.317549
513,7460.549000,2.223098
514,7460.550000,2.126846
515,7460.551000,1.864423
516,7460.552000,1.867527
517,7460.553000,1.546512
518,7460.554000,1.488346
519,7460.555000,1.578752
520,7460.556000,1.686926
521,7460.557000,1.88057
522,7460.558000,2.098502
523,7460.559000,2.331055
524,7460.560000,2.734281
525,7460.561000,3.125314
526,7460.562000,3.263726
527,7460.563000,3.146316
528,7460.564000,2.913872
529,7460.565000,2.503156
530,7460.566000,2.226113
531,7460.567000,2.118162
532,7460.568000,2.011907
533,7460.569000,1.994976
534,7460.570000,1.91281
535,7460.571000,1.754108
536,7460.572000,1.726897
537,7460.573000,1.806787
538,7460.574000,1.84433
539,7460.575000,1.868108
540,7460.576000,1.948727
541,7460.577000,1.968664
542,7460.578000,2.314556
543,7460.579000,2.543322
544,7460.580000,2.865591
545,7460.581000,3.325911
546,7460.582000,3.607903
547,7460.583000,3.560124
548,7460.584000,3.483211
549,7460.585000,3.234965
550,7460.586000,2.984087
551,7460.587000,2.785327
552,7460.588000,2.432875
553,7460.589000,1.977594
554,7460.590000,1.790658
555,7460.591000,1.884012
556,7460.592000,1.778272
557,7460.593000,2.052321
558,7460.594000,2.249543
559,7460.595000,2.637866
560,7460.596000,2.811548
561,7460.597000,2.780077
562,7460.598000,3.124351
563,7460.599000,3.641222
564,7460.600000,3.620507
565,7460.601000,3.535439
566,7460.602000,3.469619
567,7460.603000,3.277046
568,7460.604000,3.172775
569,7460.605000,2.918594
570,7460.606000,2.472766
571,7460.607000,2.41765
572,7460.608000,2.366453
573,7460.609000,2.336576
574,7460.610000,2.109953
575,7460.611000,1.797679
576,7460.612000,1.951203
577,7460.613000,1.779792
578,7460.614000,1.746807
579,7460.615000,2.060894
580,7460.616000,2.398052
581,7460.617000,2.891603
582,7460.618000,3.299155
583,7460.619000,3.590436
584,7460.620000,3.9054
585,7460.621000,4.209455
586,7460.622000,4.358455
587,7460.623000,4.352813
588,7460.624000,4.044401
589,7460.625000,3.684661
590,7460.626000,3.210851
591,7460.627000,2.718352
592,7460.628000,1.970514
593,7460.629000,1.103158
594,7460.630000,0.6384085
595,7460.631000,0.7148932
596,7460.632000,0.9935143
597,7460.633000,1.595106
598,7460.634000,2.08219
599,7460.635000,2.389842
600,7460.636000,2.970942
601,7460.637000,3.597138
602,7460.638000,4.051601
603,7460.639000,4.305931
604,7460.640000,4.46727
605,7460.641000,4.459085
606,7460.642000,4.248014
607,7460.643000,4.073683
608,7460.644000,3.829211
609,7460.645000,3.225706
610,7460.646000,2.703433
611,7460.647000,2.367653
612,7460.648000,2.137196
613,7460.649000,1.863885
614,7460.650000,1.642276
615,7460.651000,1.507027
616,7460.652000,1.911626
617,7460.653000,2.088155
618,7460.654000,2.489925
619,7460.655000,3.007215
620,7460.656000,3.543497
621,7460.657000,3.933987
622,7460.658000,4.25221
623,7460.659000,4.580185
624,7460.660000,4.532662
625,7460.661000,4.398489
626,7460.662000,4.035674
627,7460.663000,3.480021
628,7460.664000,3.064269
629,7460.665000,3.383601
630,7460.666000,3.36804
631,7460.667000,3.110185
632,7460.668000,3.080218
633,7460.669000,2.704245
634,7460.670000,2.499866
635,7460.671000,2.410519
636,7460.672000,2.62904
637,7460.673000,2.919441
638,7460.674000,3.216881
639,7460.675000,3.512881
640,7460.676000,3.533677
641,7460.677000,3.427668
642,7460.678000,3.709806
643,7460.679000,4.301266
644,7460.680000,4.394186
645,7460.681000,4.13553
646,7460.682000,3.917274
647,7460.683000,3.267289
648,7460.684000,2.979956
649,7460.685000,3.126919
650,7460.686000,3.118266
651,7460.687000,3.13543
652,7460.688000,3.202488
653,7460.689000,3.263089
654,7460.690000,3.188753
655,7460.691000,3.104485
656,7460.692000,3.247924
657,7460.693000,3.489863
658,7460.694000,3.50744
659,7460.695000,3.786876
660,7460.696000,3.87633
661,7460.697000,3.729032
662,7460.698000,3.642118
663,7460.699000,3.603559
664,7460.700000,3.626361
665,7460.701000,3.879208
666,7460.702000,3.755731
667,7460.703000,3.504407
668,7460.704000,3.226062
669,7460.705000,2.910332
670,7460.706000,2.735924
671,7460.707000,2.623924
672,7460.708000,2.593995
673,7460.709000,2.652846
674,7460.710000,2.608378
675,7460.711000,2.607376
676,7460.712000,2.673711
677,7460.713000,2.753397
678,7460.714000,2.901373
679,7460.715000,3.184657
680,7460.716000,3.513264
681,7460.717000,3.91016
682,7460.718000,4.198902
683,7460.719000,4.236599
684,7460.720000,4.185868
685,7460.721000,3.889056
686,7460.722000,3.800419
687,7460.723000,3.712636
688,7460.724000,3.407463
689,7460.725000,2.897379
690,7460.726000,2.579037
691,7460.727000,2.576913
692,7460.728000,2.612044
693,7460.729000,2.838635
694,7460.730000,2.878905
695,7460.731000,2.709336
696,7460.732000,2.752669
697,7460.733000,2.940031
698,7460.734000,3.11134
699,7460.735000,3.301386
700,7460.736000,3.471501
701,7460.737000,3.589428
702,7460.738000,3.473231
703,7460.739000,3.324857
704,7460.740000,3.095555
705,7460.741000,2.796997
706,7460.742000,2.904063
707,7460.743000,3.172821
708,7460.744000,3.246237
709,7460.745000,3.218607
710,7460.746000,3.153812
711,7460.747000,3.000755
712,7460.748000,3.057779
713,7460.749000,3.125752
714,7460.750000,3.257064
715,7460.751000,3.217104
716,7460.752000,3.245749
717,7460.753000,3.23943
718,7460.754000,3.276946
719,7460.755000,3.452683
720,7460.756000,3.643649
721,7460.757000,3.659905
722,7460.758000,3.64335
723,7460.759000,3.570631
724,7460.760000,3.494633
725,7460.761000,3.438579
726,7460.762000,3.439342
727,7460.763000,3.349121
728,7460.764000,3.205599
729,7460.765000,3.006279
730,7460.766000,2.84858
731,7460.767000,2.836653
732,7460.768000,2.955511
733,7460.769000,3.023126
734,7460.770000,3.144211
735,7460.771000,3.226326
736,7460.772000,3.369618
737,7460.773000,3.552701
738,7460.774000,3.677621
739,7460.775000,3.745958
740,7460.776000,3.814127
741,7460.777000,3.791425
742,7460.778000,3.806568
743,7460.779000,3.874516
744,7460.780000,3.900764
745,7460.781000,3.916076
746,7460.782000,3.859655
747,7460.783000,3.716944
748,7460.784000,3.525936
749,7460.785000,3.266586
750,7460.786000,3.142177
751,7460.787000,3.172195
752,7460.788000,3.212962
753,7460.789000,3.375738
754,7460.790000,3.510416
755,7460.791000,3.625557
756,7460.792000,3.815516
757,7460.793000,4.057874
758,7460.794000,4.132667
759,7460.795000,4.031347
760,7460.796000,3.841678
761,7460.797000,3.505031
762,7460.798000,3.367836
763,7460.799000,3.456558
764,7460.800000,3.525824
765,7460.801000,3.716576
766,7460.802000,3.79322
767,7460.803000,3.744222
768,7460.804000,3.732416
769,7460.805000,3.708324
770,7460.806000,3.685396
771,7460.807000,3.681976
772,7460.808000,3.75685
773,7460.809000,3.723463
774,7460.810000,3.722164
775,7460.811000,3.678355
776,7460.812000,3.747002
777,7460.813000,3.738578
778,7460.814000,3.671077
779,7460.815000,3.770103
780,7460.816000,3.807932
781,7460.817000,3.873074
782,7460.818000,3.868485
783,7460.819000,3.781105
784,7460.820000,3.748113
785,7460.821000,3.753009
786,7460.822000,3.803605
787,7460.823000,3.899261
788,7460.824000,3.963396
789,7460.825000,3.873039
790,7460.826000,3.62037
791,7460.827000,3.417749
792,7460.828000,3.270585
793,7460.829000,3.107382
794,7460.830000,3.238433
795,7460.831000,3.479151
796,7460.832000,3.553372
797,7460.833000,3.411202
798,7460.834000,3.398642
799,7460.835000,3.259588
800,7460.836000,3.19236
801,7460.837000,3.166146
802,7460.838000,2.940205
803,7460.839000,2.516071
804,7460.840000,2.418619
805,7460.841000,2.277946
806,7460.842000,2.486899
807,7460.843000,2.920267
808,7460.844000,2.520817
809,7460.845000,2.654901
810,7460.846000,2.868934
811,7460.847000,2.683754
812,7460.848000,2.399154
813,7460.849000,2.334296
814,7460.850000,2.506497
815,7460.851000,2.875355
816,7460.852000,2.879837
817,7460.853000,2.653505
818,7460.854000,2.652972
819,7460.855000,2.58583
820,7460.856000,2.610349
821,7460.857000,2.710375
822,7460.858000,2.615668
823,7460.859000,2.589562
824,7460.860000,2.50868
825,7460.861000,2.43391
826,7460.862000,2.486322
827,7460.863000,2.505162
828,7460.864000,2.568945
829,7460.865000,2.712205
830,7460.866000,2.758512
831,7460.867000,2.724037
832,7460.868000,2.678678
833,7460.869000,2.590908
834,7460.870000,2.540217
835,7460.871000,2.537182
836,7460.872000,2.523019
837,7460.873000,2.518575
838,7460.874000,2.498413
839,7460.875000,2.500358
840,7460.876000,2.545257
841,7460.877000,2.595315
842,7460.878000,2.573295
843,7460.879000,2.601001
844,7460.880000,2.563528
845,7460.881000,2.495084
846,7460.882000,2.627867
847,7460.883000,2.416033
848,7460.884000,2.438504
849,7460.885000,2.583787
850,7460.886000,2.421198
851,7460.887000,2.525497
852,7460.888000,2.46126
853,7460.889000,2.38543
854,7460.890000,2.454565
855,7460.891000,2.511463
856,7460.892000,2.456464
857,7460.893000,2.442478
858,7460.894000,2.392634
859,7460.895000,2.413829
860,7460.896000,2.578812
861,7460.897000,2.495761
862,7460.898000,2.521539
863,7460.899000,2.494751
864,7460.900000,2.478372
865,7460.901000,2.468997
866,7460.902000,2.627932
867,7460.903000,2.66657
868,7460.904000,2.427952
869,7460.905000,2.427552
870,7460.906000,2.348113
871,7460.907000,2.415425
872,7460.908000,2.488117
873,7460.909000,2.555982
874,7460.910000,2.594069
875,7460.911000,2.564686
876,7460.912000,2.570671
877,7460.913000,2.517767
878,7460.914000,2.513965
879,7460.915000,2.543744
880,7460.916000,2.604854
881,7460.917000,2.608875
882,7460.918000,2.645089
883,7460.919000,2.531889
884,7460.920000,2.439251
885,7460.921000,2.466744
886,7460.922000,2.51994
887,7460.923000,2.675112
888,7460.924000,2.739325
889,7460.925000,2.723665
890,7460.926000,2.603542
891,7460.927000,2.33209
892,7460.928000,2.329754
893,7460.929000,2.37807
894,7460.930000,2.478734
895,7460.931000,2.744673
896,7460.932000,2.733587
897,7460.933000,2.503364
898,7460.934000,2.391144
899,7460.935000,2.345668
900,7460.936000,2.33692
901,7460.937000,2.527068
902,7460.938000,2.539275
903,7460.939000,2.389482
904,7460.940000,2.331736
905,7460.941000,2.463662
906,7460.942000,2.414938
907,7460.943000,2.399148
908,7460.944000,2.385378
909,7460.945000,2.389978
910,7460.946000,2.367347
911,7460.947000,2.32327
912,7460.948000,2.391419
913,7460.949000,2.332975
914,7460.950000,2.322608
915,7460.951000,2.330805
916,7460.952000,2.272546
917,7460.953000,2.282978
918,7460.954000,2.262493
919,7460.955000,2.252694
920,7460.956000,2.189682
921,7460.957000,2.06886
922,7460.958000,2.230841
923,7460.959000,2.162859
924,7460.960000,2.091146
925,7460.961000,2.131689
926,7460.962000,2.078284
927,7460.963000,2.086692
928,7460.964000,2.076642
929,7460.965000,2.076151
930,7460.966000,2.053276
931,7460.967000,2.005338
932,7460.968000,1.926726
933,7460.969000,1.807664
934,7460.970000,1.854228
935,7460.971000,1.852184
936,7460.972000,1.900822
937,7460.973000,1.945579
938,7460.974000,2.015865
939,7460.975000,2.030581
940,7460.976000,1.927619
941,7460.977000,2.030801
942,7460.978000,1.887654
943,7460.979000,1.985738
944,7460.980000,2.014618
945,7460.981000,2.023735
946,7460.982000,2.051098
947,7460.983000,2.064085
948,7460.984000,2.039158
949,7460.985000,2.047174
950,7460.986000,2.071566
951,7460.987000,2.142936
952,7460.988000,2.098209
953,7460.989000,2.096493
954,7460.990000,2.10951
955,7460.991000,2.127194
956,7460.992000,2.148223
957,7460.993000,2.166096
958,7460.994000,2.176191
959,7460.995000,2.198056
960,7460.996000,2.223833
961,7460.997000,2.262266
962,7460.998000,2.252816
963,7460.999000,2.192925
964,7461.000000,2.323671
965,7461.001000,2.214521
966,7461.002000,2.254393
967,7461.003000,2.30534
968,7461.004000,2.331974
969,7461.005000,2.341356
970,7461.006000,2.278685
971,7461.007000,2.214434
972,7461.008000,2.207623
973,7461.009000,2.28945
974,7461.010000,2.248087
975,7461.011000,2.279887
976,7461.012000,2.252465
977,7461.013000,2.206153
978,7461.014000,2.187317
979,7461.015000,2.195593
980,7461.016000,2.188966
981,7461.017000,2.229341
982,7461.018000,2.199054
983,7461.019000,2.109479
984,7461.020000,2.09396
985,7461.021000,2.142514
986,7461.022000,2.160898
987,7461.023000,2.09657
988,7461.024000,2.109131
989,7461.025000,2.12368
990,7461.026000,1.995825
991,7461.027000,2.051117
992,7461.028000,2.027902
993,7461.029000,2.017522
994,7461.030000,1.968717
995,7461.031000,1.950879
996,7461.032000,1.990853
997,7461.033000,1.958374
998,7461.034000,1.947179
999,7461.035000,1.953387
1000,7461.036000,1.953465
1001,7461.037000,1.963099
1002,7461.038000,1.959541
1003,7461.039000,1.998123
1004,7461.040000,1.985558
1005,7461.041000,1.962056
1006,7461.042000,2.097101
1007,7461.043000,2.088915
1008,7461.044000,2.145986
1009,7461.045000,2.262318
1010,7461.046000,2.213206
1011,7461.047000,2.129658
1012,7461.048000,2.086106
1013,7461.049000,2.101572
1014,7461.050000,2.094165
1015,7461.051000,2.134655
1016,7461.052000,2.192839
1017,7461.053000,2.283851
1018,7461.054000,2.336127
1019,7461.055000,2.345703
1020,7461.056000,2.355662
1021,7461.057000,2.348789
1022,7461.058000,2.352819
