#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
211,7460.247000,1.868623
212,7460.248000,1.865698
213,7460.249000,1.859976
214,7460.250000,1.856121
215,7460.251000,1.853395
216,7460.252000,1.849326
217,7460.253000,1.844562
218,7460.254000,1.839354
219,7460.255000,1.833368
220,7460.256000,1.826742
221,7460.257000,1.819402
222,7460.258000,1.811678
223,7460.259000,1.803587
224,7460.260000,1.794844
225,7460.261000,1.785518
226,7460.262000,1.777869
227,7460.263000,1.772092
228,7460.264000,1.767171
229,7460.265000,1.763749
230,7460.266000,1.760451
231,7460.267000,1.757226
232,7460.268000,1.755344
233,7460.269000,1.754551
234,7460.270000,1.753297
235,7460.271000,1.751633
236,7460.272000,1.75016
237,7460.273000,1.748522
238,7460.274000,1.748004
239,7460.275000,1.748708
240,7460.276000,1.749719
241,7460.277000,1.751345
242,7460.278000,1.751862
243,7460.279000,1.751016
244,7460.280000,1.751324
245,7460.281000,1.752429
246,7460.282000,1.747468
247,7460.283000,1.736223
248,7460.284000,1.756084
249,7460.285000,1.742984
250,7460.286000,1.736444
251,7460.287000,1.73996
252,7460.288000,1.7379
253,7460.289000,1.738797
254,7460.290000,1.73631
255,7460.291000,1.730424
256,7460.292000,1.756771
257,7460.293000,1.749745
258,7460.294000,1.748708
259,7460.295000,1.730295
260,7460.296000,1.718817
261,7460.297000,1.711484
262,7460.298000,1.725999
263,7460.299000,1.768343
264,7460.300000,1.784546
265,7460.301000,1.777304
266,7460.302000,1.754992
267,7460.303000,1.705135
268,7460.304000,1.694198
269,7460.305000,1.724385
270,7460.306000,1.750922
271,7460.307000,1.788544
272,7460.308000,1.789004
273,7460.309000,1.756178
274,7460.310000,1.742213
275,7460.311000,1.74182
276,7460.312000,1.733476
277,7460.313000,1.726768
278,7460.314000,1.749853
279,7460.315000,1.80481
280,7460.316000,1.821182
281,7460.317000,1.835043
282,7460.318000,1.806115
283,7460.319000,1.731142
284,7460.320000,1.709198
285,7460.321000,1.738976
286,7460.322000,1.792532
287,7460.323000,1.853604
288,7460.324000,1.882593
289,7460.325000,1.843184
290,7460.326000,1.797668
291,7460.327000,1.755683
292,7460.328000,1.754912
293,7460.329000,1.754656
294,7460.330000,1.829265
295,7460.331000,1.945356
296,7460.332000,1.948462
297,7460.333000,1.911991
298,7460.334000,1.840726
299,7460.335000,1.732124
300,7460.336000,1.684688
301,7460.337000,1.7599
302,7460.338000,1.814711
303,7460.339000,1.949013
304,7460.340000,1.908341
305,7460.341000,1.82936
306,7460.342000,1.775115
307,7460.343000,1.782062
308,7460.344000,1.826861
309,7460.345000,1.831729
310,7460.346000,1.878107
311,7460.347000,1.773226
312,7460.348000,1.715943
313,7460.349000,1.733734
314,7460.350000,1.795413
315,7460.351000,1.770481
316,7460.352000,1.811834
317,7460.353000,1.899414
318,7460.354000,1.891708
319,7460.355000,1.799633
320,7460.356000,1.751227
321,7460.357000,1.71459
322,7460.358000,1.698848
323,7460.359000,1.818697
324,7460.360000,1.753536
325,7460.361000,1.759483
326,7460.362000,1.741675
327,7460.363000,1.653699
328,7460.364000,1.684129
329,7460.365000,1.686868
330,7460.366000,1.669584
331,7460.367000,1.63449
332,7460.368000,1.579411
333,7460.369000,1.571898
334,7460.370000,1.529427
335,7460.371000,1.525604
336,7460.372000,1.533814
337,7460.373000,1.527283
338,7460.374000,1.51267
339,7460.375000,1.471306
340,7460.376000,1.362823
341,7460.377000,1.369795
342,7460.378000,1.305627
343,7460.379000,1.292654
344,7460.380000,1.415215
345,7460.381000,1.395115
346,7460.382000,1.361164
347,7460.383000,1.370729
348,7460.384000,1.209121
349,7460.385000,1.187922
350,7460.386000,1.278123
351,7460.387000,1.29384
352,7460.388000,1.377584
353,7460.389000,1.433538
354,7460.390000,1.274998
355,7460.391000,1.198408
356,7460.392000,1.018765
357,7460.393000,1.078472
358,7460.394000,1.268261
359,7460.395000,1.256138
360,7460.396000,1.512021
361,7460.397000,1.337441
362,7460.398000,1.257669
363,7460.399000,1.1316
364,7460.400000,1.081491
365,7460.401000,1.254241
366,7460.402000,1.334561
367,7460.403000,1.434441
368,7460.404000,1.457364
369,7460.405000,1.379835
370,7460.406000,1.334524
371,7460.407000,1.314206
372,7460.408000,1.364866
373,7460.409000,1.433559
374,7460.410000,1.423313
375,7460.411000,1.492698
376,7460.412000,1.423262
377,7460.413000,1.441641
378,7460.414000,1.44165
379,7460.415000,1.458374
380,7460.416000,1.506426
381,7460.417000,1.549049
382,7460.418000,1.470974
383,7460.419000,1.457446
384,7460.420000,1.452832
385,7460.421000,1.513902
386,7460.422000,1.560059
387,7460.423000,1.52844
388,7460.424000,1.599434
389,7460.425000,1.643926
390,7460.426000,1.620283
391,7460.427000,1.553467
392,7460.428000,1.613539
393,7460.429000,1.642488
394,7460.430000,1.650329
395,7460.431000,1.701999
396,7460.432000,1.725804
397,7460.433000,1.581526
398,7460.434000,1.507016
399,7460.435000,1.533758
400,7460.436000,1.427435
401,7460.437000,1.342824
402,7460.438000,1.353681
403,7460.439000,1.483576
404,7460.440000,1.507736
405,7460.441000,1.774344
406,7460.442000,1.934651
407,7460.443000,2.007049
408,7460.444000,2.058788
409,7460.445000,1.743424
410,7460.446000,1.486167
411,7460.447000,1.219453
412,7460.448000,1.081685
413,7460.449000,1.374962
414,7460.450000,1.533877
415,7460.451000,1.482152
416,7460.452000,1.600443
417,7460.453000,1.484401
418,7460.454000,1.60492
419,7460.455000,1.542903
420,7460.456000,1.535008
421,7460.457000,1.658393
422,7460.458000,1.537839
423,7460.459000,1.494813
424,7460.460000,1.296981
425,7460.461000,1.202775
426,7460.462000,1.364383
427,7460.463000,1.357746
428,7460.464000,1.586182
429,7460.465000,1.651589
430,7460.466000,1.666307
431,7460.467000,1.675065
432,7460.468000,1.837951
433,7460.469000,2.056257
